open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
23221.3,23232.2,23219.9,23227.45,23211.65,23217.69,23218.19,23221.06,23225.61,23244.17,23335.0,23314.19,23413.95,23375.92,23450.14,23442.78,-35.74,-41.87,6.14,40.18,37.76,29.55,18.68,-58.36,11.37,39.04,16.12,27.06,8.2,0.04,-0.02,26.62,23254.29,23225.61,23196.92,0.25,53.21,23270.9,23196.45,0.19,0.13,-1.27,0.26,-1,0,0,0,0,0.03,0.03,0.05,0.03,0.02,0.01,0.01,0.0,-1,-1,0.01,-0.07,0.07,0.06
23227.5,23232.2,23220.55,23225.5,23216.0,23220.29,23218.4,23221.86,23225.34,23242.39,23331.2,23310.71,23410.9,23372.94,23449.03,23440.62,-33.01,-40.1,7.09,39.75,37.5,39.66,28.7,-54.29,19.47,38.06,15.6,26.18,2.1,0.01,-0.02,25.55,23253.92,23225.34,23196.76,0.25,50.28,23270.9,23196.45,0.2,0.13,-1.19,0.23,-1,0,0,0,0,-0.01,0.01,0.05,0.01,0.02,0.02,0.0,0.0,-1,-1,0.0,-0.07,0.07,0.06
23225.35,23263.75,23206.35,23262.5,23228.67,23234.36,23221.48,23229.25,23226.88,23244.31,23328.15,23308.82,23408.22,23370.75,23448.12,23438.84,-27.55,-37.59,10.04,50.55,45.04,61.83,43.68,-1.86,139.57,35.49,21.4,22.32,30.75,0.13,-0.02,27.82,23259.68,23226.88,23194.08,0.28,104.3,23270.9,23196.45,0.04,0.28,-0.56,0.04,-1,0,0,1,0,0.16,0.16,0.25,0.16,0.01,0.08,0.0,0.0,1,-1,0.15,0.08,0.09,0.07
23264.7,23274.6,23242.55,23261.45,23239.38,23243.39,23223.02,23235.11,23228.39,23245.94,23325.17,23306.97,23405.63,23368.59,23447.1,23437.08,-23.04,-34.68,11.64,50.27,44.88,75.68,59.06,-16.83,202.04,33.27,22.41,20.5,15.4,0.07,-0.02,28.13,23264.47,23228.39,23192.31,0.31,95.81,23274.6,23196.45,0.06,0.28,0.0,0.0,1,0,0,0,0,-0.0,0.0,0.14,0.01,0.04,0.08,0.01,0.0,1,-1,0.14,0.07,0.1,0.08
23261.0,23263.5,23248.75,23250.5,23245.48,23245.76,23225.88,23237.91,23229.99,23246.37,23321.98,23304.75,23402.8,23366.25,23446.01,23435.22,-20.12,-31.77,11.65,47.37,43.18,83.49,73.67,-30.84,136.12,31.21,21.54,19.71,28.65,0.12,-0.02,27.17,23267.0,23229.99,23192.98,0.32,77.71,23274.6,23196.45,0.1,0.23,0.16,0.0,1,0,0,0,0,-0.05,0.05,0.06,0.05,0.01,0.01,0.0,0.0,1,-1,0.09,0.02,0.11,0.08
23248.15,23255.9,23239.2,23253.95,23250.78,23248.49,23231.22,23240.82,23230.99,23247.1,23318.5,23302.76,23400.19,23364.03,23444.9,23433.42,-17.33,-28.88,11.55,48.38,43.88,75.3,78.16,-26.42,92.98,29.13,20.57,21.4,53.35,0.23,-0.02,26.42,23269.43,23230.99,23192.55,0.33,79.86,23274.6,23196.45,0.09,0.25,0.57,0.03,1,0,0,0,0,0.01,0.01,0.07,0.02,0.01,0.04,0.0,0.01,1,-1,0.1,0.03,0.1,0.08
23253.5,23260.5,23249.45,23258.6,23257.4,23251.86,23236.7,23244.05,23232.36,23248.19,23315.17,23301.03,23397.5,23361.94,23443.96,23431.68,-14.57,-26.02,11.45,49.78,44.85,74.09,77.63,-20.47,99.91,27.13,21.23,20.73,54.85,0.24,-0.02,25.32,23272.64,23232.36,23192.08,0.35,82.57,23274.6,23196.45,0.07,0.27,0.97,0.08,1,0,0,0,0,0.02,0.02,0.05,0.02,0.01,0.02,0.0,0.0,1,-1,0.11,0.04,0.1,0.09
23256.65,23262.45,23251.0,23259.3,23256.76,23254.34,23242.72,23246.83,23232.68,23249.25,23311.96,23299.39,23394.89,23359.91,23443.07,23429.96,-12.19,-23.25,11.06,50.0,45.0,77.84,75.74,-19.58,92.4,25.37,21.09,20.04,60.15,0.26,-0.02,24.33,23273.69,23232.68,23191.66,0.35,82.45,23274.6,23196.45,0.07,0.27,1.68,0.22,1,0,0,0,0,0.0,0.0,0.05,0.01,0.01,0.02,0.0,0.01,1,-1,0.11,0.04,0.09,0.09
23259.65,23273.2,23259.65,23273.2,23259.11,23260.63,23249.25,23251.62,23234.15,23251.53,23309.06,23298.36,23392.39,23358.19,23442.33,23428.4,-9.08,-20.42,11.34,54.28,47.93,86.05,79.33,-1.79,108.29,24.28,23.45,19.19,65.3,0.28,-0.02,23.59,23278.63,23234.15,23189.68,0.38,93.9,23274.6,23196.45,0.01,0.33,2.43,0.4,1,0,0,0,0,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,1,-1,0.17,0.09,0.08,0.1
23278.7,23298.05,23275.6,23288.95,23266.8,23270.07,23256.14,23258.41,23236.76,23255.09,23306.48,23297.99,23390.08,23356.82,23441.7,23427.02,-5.28,-17.39,12.11,58.59,51.04,89.85,84.58,-9.07,144.19,24.28,29.19,17.75,68.95,0.3,-0.02,23.68,23287.25,23236.76,23186.26,0.43,101.68,23298.05,23196.45,0.04,0.4,3.26,0.55,1,0,0,0,0,0.07,0.07,0.1,0.04,0.04,0.01,0.02,0.0,1,-1,0.22,0.15,0.08,0.11
