open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
46343.6,46417.55,46319.35,46400.2,46395.03,46405.55,46464.98,46437.66,46480.02,46438.91,46301.4,46387.27,46355.96,46379.38,46425.18,46431.05,16.85,45.48,-28.63,47.9,50.15,14.7,12.35,-74.03,-112.98,25.97,21.15,26.12,-188.45,-0.4,0.01,74.61,46633.29,46480.02,46326.74,0.66,23.96,46655.55,46310.6,0.55,0.19,-2.97,0.05,-1,0,0,0,0,0.13,0.13,0.21,0.12,0.04,0.05,0.0,0.0,-1,1,-0.17,-0.08,0.18,0.17
46400.9,46404.7,46229.5,46249.95,46356.89,46353.68,46437.12,46403.53,46469.42,46420.92,46303.66,46381.88,46354.04,46376.81,46424.56,46429.24,0.21,36.42,-36.22,37.79,42.66,13.31,12.23,-95.2,-146.48,25.91,17.91,29.97,-278.6,-0.6,0.01,81.8,46652.63,46469.42,46286.22,0.79,-9.9,46655.55,46229.5,0.88,0.04,-6.54,0.17,-1,0,0,0,1,-0.32,0.32,0.38,0.33,0.01,0.04,0.0,0.0,-1,1,-0.47,-0.37,0.22,0.2
46251.5,46283.55,46213.75,46264.0,46330.71,46323.79,46407.36,46378.16,46459.67,46405.97,46305.45,46377.26,46352.22,46374.58,46423.6,46427.6,-11.71,26.8,-38.51,39.08,43.49,14.05,14.02,-88.63,-141.57,26.02,16.81,29.52,-297.7,-0.64,0.01,80.94,46663.64,46459.67,46255.71,0.88,2.03,46655.55,46213.75,0.85,0.11,-9.64,0.3,-1,0,0,0,0,0.03,0.03,0.15,0.03,0.04,0.08,0.0,0.0,-1,1,-0.42,-0.31,0.23,0.23
46272.5,46272.55,46204.15,46214.0,46294.06,46287.19,46369.64,46348.32,46446.65,46387.69,46307.4,46370.86,46350.21,46371.4,46422.32,46425.48,-24.91,16.46,-41.36,36.2,41.26,6.13,11.16,-97.79,-131.56,26.22,15.78,28.57,-377.15,-0.81,0.01,80.04,46676.76,46446.65,46216.54,0.99,-0.55,46655.55,46204.15,0.96,0.02,-12.91,0.42,-1,0,0,0,1,-0.11,0.11,0.15,0.13,0.0,0.02,0.02,0.0,-1,1,-0.5,-0.37,0.22,0.25
46216.9,46256.3,46200.0,46233.2,46272.27,46269.2,46342.49,46327.39,46438.29,46372.97,46309.84,46365.46,46348.12,46368.66,46421.24,46423.56,-33.43,6.48,-39.91,38.09,42.45,7.1,9.09,-92.28,-115.31,26.45,14.97,27.48,-271.5,-0.58,0.01,78.35,46685.99,46438.29,46190.59,1.07,8.6,46655.55,46200.0,0.91,0.07,-16.69,0.6,-1,0,0,0,0,0.04,0.04,0.12,0.04,0.05,0.04,0.01,0.0,-1,1,-0.44,-0.3,0.21,0.27
46242.05,46302.0,46214.95,46283.95,46249.02,46274.11,46322.02,46319.49,46431.92,46364.5,46313.54,46362.26,46346.58,46366.98,46420.49,46422.17,-35.68,-1.95,-33.73,42.91,45.51,9.82,7.68,-80.49,-79.69,25.78,17.93,25.32,-204.65,-0.44,0.01,78.97,46688.46,46431.92,46175.38,1.11,21.16,46655.55,46200.0,0.8,0.18,-19.32,0.75,-1,0,0,0,0,0.11,0.11,0.19,0.09,0.04,0.06,0.02,0.0,-1,1,-0.32,-0.17,0.18,0.28
46288.0,46315.45,46246.65,46286.9,46256.41,46278.38,46306.65,46313.56,46423.82,46357.11,46317.15,46359.31,46345.14,46365.4,46419.86,46420.83,-36.8,-8.92,-27.88,43.18,45.69,15.81,10.91,-79.8,-59.89,24.92,18.03,23.73,-153.75,-0.33,0.01,78.24,46687.82,46423.82,46159.81,1.14,24.07,46655.55,46200.0,0.8,0.19,-21.13,0.85,-1,1,0,0,0,0.01,0.01,0.15,0.0,0.06,0.09,0.01,0.0,-1,-1,-0.29,-0.15,0.15,0.29
46291.3,46305.5,46251.45,46271.45,46257.9,46276.07,46294.3,46305.91,46410.26,46348.95,46324.31,46355.86,46343.34,46363.54,46419.11,46419.34,-38.49,-14.83,-23.65,42.03,44.89,18.77,14.8,-83.39,-55.83,24.11,17.12,22.53,-123.45,-0.27,0.0,76.51,46676.3,46410.26,46144.21,1.15,23.91,46655.55,46200.0,0.83,0.15,-21.43,0.86,-1,0,0,0,0,-0.03,0.03,0.12,0.04,0.03,0.04,0.01,0.0,-1,-1,-0.3,-0.17,0.14,0.29
46275.15,46325.35,46242.5,46316.65,46278.43,46289.59,46286.24,46307.86,46399.56,46345.87,46333.14,46354.32,46341.96,46362.61,46418.5,46418.32,-35.77,-19.02,-16.75,46.52,47.7,24.22,19.6,-64.14,-32.35,22.98,17.65,20.8,-80.6,-0.17,0.0,76.97,46662.58,46399.56,46136.54,1.13,34.24,46655.55,46200.0,0.73,0.25,-20.86,0.84,-1,0,0,0,0,0.1,0.1,0.18,0.09,0.02,0.07,0.01,0.0,-1,-1,-0.18,-0.06,0.12,0.29
46320.4,46366.0,46255.0,46333.45,46298.48,46304.21,46285.37,46312.51,46384.6,46344.69,46340.82,46353.5,46340.89,46362.03,46417.9,46417.47,-31.89,-21.59,-10.29,48.12,48.72,32.3,25.1,-55.56,0.46,21.49,19.54,18.72,-8.7,-0.02,0.0,79.4,46626.05,46384.6,46143.15,1.04,39.41,46649.1,46200.0,0.68,0.29,-18.13,0.75,-1,0,0,0,0,0.04,0.04,0.24,0.03,0.07,0.14,0.01,0.0,-1,-1,-0.11,-0.02,0.12,0.27
