open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
74037.63,74096.8,74026.79,74087.96,74067.88,74074.09,74105.15,74058.3,74008.62,73982.58,73638.42,73684.47,73184.52,73335.87,72798.58,72858.99,123.29,145.08,-21.79,57.58,59.12,78.66,78.51,-19.14,25.99,30.2,27.77,21.92,-41.73,-0.06,0.03,141.97,74386.49,74008.62,73630.75,1.02,60.5,74254.62,73383.75,0.22,0.95,10.98,0.11,1,0,0,1,0,0.07,0.07,0.09,0.07,0.01,0.01,0.0,0.0,1,1,0.11,0.14,0.07,0.26
74086.22,74116.59,74023.36,74031.33,74061.32,74059.84,74099.08,74053.39,74016.36,73987.22,73658.62,73698.07,73197.05,73349.64,72805.27,72870.65,112.93,138.65,-25.72,54.88,57.26,76.77,77.79,-25.64,17.13,29.01,27.46,20.87,-60.74,-0.08,0.03,138.49,74389.4,74016.36,73643.31,1.01,52.01,74254.62,73383.75,0.3,0.87,9.22,0.08,1,0,0,0,0,-0.08,0.08,0.13,0.07,0.04,0.01,0.0,0.0,1,1,0.02,0.06,0.08,0.26
74027.35,74093.04,74020.45,74066.54,74060.86,74062.07,74083.7,74055.78,74024.58,73994.78,73679.73,73712.52,73209.46,73363.84,72811.28,72882.55,106.34,132.19,-25.85,56.25,58.12,77.88,77.77,-21.6,1.34,27.89,26.39,20.22,-153.76,-0.21,0.03,133.78,74394.42,74024.58,73654.74,1.0,55.67,74254.62,73383.75,0.25,0.92,8.13,0.06,1,0,0,0,0,0.05,0.05,0.1,0.05,0.04,0.01,0.0,0.01,1,1,0.06,0.1,0.05,0.26
74066.71,74088.96,74046.61,74065.21,74057.75,74063.12,74075.12,74057.5,74030.26,74001.49,73700.82,73726.36,73222.0,73377.72,72817.79,72894.32,99.85,125.72,-25.87,56.18,58.08,63.98,72.88,-60.81,-51.69,26.84,25.77,19.74,-85.84,-0.12,0.03,127.25,74398.93,74030.26,73661.59,1.0,54.74,74254.62,73383.75,0.26,0.92,7.56,0.06,1,1,0,0,0,-0.0,0.0,0.06,0.0,0.03,0.03,0.0,0.0,1,1,0.05,0.09,0.04,0.26
74066.15,74066.74,73981.59,74014.15,74053.04,74046.8,74063.33,74049.62,74027.98,74002.69,73720.39,73737.64,73233.61,73390.33,72823.95,72905.46,89.56,118.49,-28.93,53.46,56.27,43.17,61.68,-88.07,-114.5,25.23,24.5,22.51,-117.86,-0.16,0.03,124.24,74396.45,74027.98,73659.5,1.0,48.12,74254.62,73383.75,0.32,0.85,7.79,0.06,1,0,0,0,0,-0.07,0.07,0.12,0.07,0.0,0.04,0.0,0.0,1,1,-0.02,0.02,0.04,0.26
74013.81,74027.44,73917.01,73962.3,74027.91,74018.63,74047.89,74033.74,74020.28,73998.85,73739.3,73746.45,73244.61,73401.65,72829.61,72915.98,76.34,110.06,-33.72,50.76,54.46,21.8,42.98,-85.72,-176.13,23.71,22.94,24.81,-154.39,-0.21,0.03,123.26,74387.48,74020.28,73653.07,0.99,42.11,74254.62,73383.75,0.4,0.78,8.25,0.07,1,0,0,0,0,-0.07,0.07,0.15,0.07,0.02,0.06,0.0,0.0,1,1,-0.08,-0.05,0.05,0.25
73968.46,74014.42,73961.86,74001.47,74021.93,74012.91,74041.63,74027.87,74012.28,73999.1,73758.54,73756.45,73256.05,73413.53,72835.56,72926.78,68.24,101.69,-33.45,52.7,55.59,17.61,27.53,-73.38,-129.47,22.29,22.21,24.02,-62.65,-0.08,0.03,118.21,74373.75,74012.28,73650.8,0.98,48.51,74254.62,73383.75,0.34,0.83,10.21,0.11,1,0,0,0,0,0.05,0.05,0.07,0.04,0.02,0.01,0.01,0.0,1,1,-0.01,0.0,0.05,0.25
74001.97,74047.23,73994.94,74012.92,74011.21,74012.91,74036.03,74025.15,74019.14,74000.41,73777.1,73766.51,73268.15,73425.4,72841.62,72937.59,62.03,93.76,-31.73,53.28,55.93,25.58,21.66,-64.15,-73.71,20.75,23.54,23.23,-55.93,-0.08,0.03,113.5,74375.15,74019.14,73663.13,0.96,49.13,74254.62,73383.75,0.33,0.85,8.06,0.07,1,0,0,0,0,0.02,0.02,0.07,0.01,0.05,0.01,0.0,0.0,-1,1,-0.01,0.02,0.05,0.25
74012.33,74025.69,73966.62,74009.72,74000.11,74011.85,74028.93,74022.35,74048.9,74001.3,73795.57,73776.05,73280.56,73436.97,72847.46,72948.26,56.2,86.25,-30.05,53.09,55.81,33.62,25.6,-61.61,-92.49,19.5,22.64,24.18,-71.04,-0.1,0.03,109.61,74272.73,74048.9,73825.07,0.6,41.25,74254.62,73383.79,0.33,0.85,-1.62,0.01,-1,1,0,0,0,-0.0,0.0,0.08,0.0,0.02,0.06,0.0,0.0,-1,1,-0.05,0.01,0.05,0.16
74010.82,74060.18,73995.78,74003.65,73998.01,74009.12,74025.52,74018.95,74067.42,74001.52,73813.28,73784.97,73292.19,73448.19,72853.52,72958.76,50.51,79.1,-28.59,52.69,55.56,38.42,32.54,-58.99,-40.69,18.24,23.97,23.14,-34.04,-0.05,0.03,106.38,74188.14,74067.42,73946.71,0.33,23.58,74254.62,73917.01,0.34,0.12,-8.83,0.71,-1,0,0,0,0,-0.01,0.01,0.09,0.01,0.07,0.01,0.0,0.0,-1,1,-0.09,0.0,0.05,0.08
