,datetime,open,high,low,close,volume
0,1736480700,56103.09,56155.93,55999.1,56008.29,0
1,1736480880,56017.26,56090.6,56011.38,56078.06,0
2,1736481060,56086.8,56143.19,56075.3,56143.19,0
3,1736481240,56139.26,56151.49,56076.59,56109.65,0
4,1736481420,56107.97,56107.97,55948.99,55956.17,0
5,1736481600,55956.92,55976.32,55919.33,55960.27,0
6,1736481780,55961.3,55961.79,55746.55,55753.73,0
7,1736481960,55765.9,55793.01,55729.47,55773.47,0
8,1736482140,55773.65,55863.14,55754.25,55827.04,0
9,1736482320,55842.74,55908.48,55808.79,55895.73,0
10,1736482500,55889.3,55892.17,55779.93,55782.97,0
11,1736482680,55780.99,55781.17,55665.71,55671.61,0
12,1736482860,55671.06,55739.03,55671.06,55737.01,0
13,1736483040,55734.77,55734.77,55666.35,55707.58,0
14,1736483220,55707.05,55718.76,55562.2,55571.14,0
15,1736483400,55571.81,55623.2,55542.29,55614.4,0
16,1736483580,55610.54,55612.85,55481.14,55499.37,0
17,1736483760,55502.24,55627.67,55473.15,55592.23,0
18,1736483940,55589.47,55604.08,55564.19,55577.98,0
19,1736484120,55580.11,55633.91,55574.6,55633.91,0
20,1736484300,55633.42,55671.68,55620.19,55650.78,0
21,1736484480,55653.66,55683.29,55639.97,55647.47,0
22,1736484660,55647.18,55705.7,55635.13,55690.67,0
23,1736484840,55689.57,55743.01,55652.38,55656.51,0
24,1736485020,55656.02,55664.18,55603.15,55631.45,0
25,1736485200,55630.9,55638.5,55596.62,55598.1,0
26,1736485380,55596.67,55662.49,55594.71,55662.49,0
27,1736485560,55661.93,55688.54,55594.37,55607.54,0
28,1736485740,55608.09,55667.52,55565.05,55666.53,0
29,1736485920,55663.06,55700.89,55660.49,55678.35,0
30,1736486100,55677.09,55724.25,55649.4,55716.73,0
31,1736486280,55716.38,55721.1,55660.42,55664.76,0
32,1736486460,55660.84,55701.21,55641.32,55693.97,0
33,1736486640,55692.81,55724.78,55680.01,55720.04,0
34,1736486820,55721.4,55732.62,55702.23,55711.09,0
35,1736487000,55719.14,55808.73,55719.14,55788.72,0
36,1736487180,55789.27,55882.14,55788.72,55876.22,0
37,1736487360,55876.68,55897.72,55833.16,55881.81,0
38,1736487540,55872.9,55882.21,55812.33,55815.88,0
39,1736487720,55810.83,55892.08,55788.31,55891.59,0
40,1736487900,55899.85,56010.38,55899.85,55966.5,0
41,1736488080,55965.95,55997.02,55943.63,55943.63,0
42,1736488260,55943.08,55946.44,55851.33,55851.66,0
43,1736488440,55850.21,55872.34,55841.69,55846.94,0
44,1736488620,55846.39,55858.65,55787.49,55843.36,0
45,1736488800,55842.81,55949.36,55842.81,55914.51,0
46,1736488980,55923.16,55923.16,55859.69,55914.1,0
47,1736489160,55915.79,55920.48,55824.4,55826.74,0
48,1736489340,55827.29,55832.33,55761.69,55766.0,0
49,1736489520,55765.15,55772.02,55669.26,55675.1,0
50,1736489700,55672.37,55732.98,55661.39,55732.87,0
51,1736489880,55733.42,55734.14,55694.94,55714.39,0
52,1736490060,55715.49,55719.05,55691.68,55707.61,0
53,1736490240,55709.29,55709.58,55673.29,55704.79,0
54,1736490420,55707.41,55740.05,55696.6,55727.39,0
55,1736490600,55726.84,55742.77,55705.01,55734.7,0
56,1736490780,55734.21,55752.23,55698.19,55707.02,0
57,1736490960,55708.03,55708.22,55649.27,55649.86,0
58,1736491140,55651.49,55660.01,55551.76,55592.11,0
59,1736491320,55597.06,55643.16,55597.06,55643.16,0
60,1736491500,55643.43,55744.96,55640.12,55712.79,0
61,1736491680,55719.19,55760.46,55717.84,55725.85,0
62,1736491860,55731.99,55741.86,55666.82,55667.83,0
63,1736492040,55666.85,55674.02,55625.17,55634.23,0
64,1736492220,55631.73,55638.56,55606.72,55621.58,0
65,1736492400,55618.06,55622.21,55601.25,55612.9,0
66,1736492580,55613.45,55649.63,55569.16,55604.23,0
67,1736492760,55606.07,55619.85,55583.82,55583.82,0
68,1736492940,55585.57,55641.8,55585.57,55634.82,0
69,1736493120,55633.73,55653.85,55629.71,55636.34,0
70,1736493300,55641.38,55660.48,55636.34,55642.02,0
71,1736493480,55641.53,55663.17,55627.21,55659.21,0
72,1736493660,55655.47,55661.02,55632.72,55640.32,0
73,1736493840,55640.87,55651.25,55603.93,55611.99,0
74,1736494020,55611.64,55615.01,55574.07,55592.04,0
75,1736494200,55591.75,55599.95,55570.23,55599.95,0
76,1736494380,55600.44,55610.41,55577.29,55607.58,0
77,1736494560,55606.93,55622.2,55597.86,55612.64,0
78,1736494740,55611.15,55644.0,55604.55,55643.45,0
79,1736494920,55643.38,55643.38,55583.26,55596.75,0
80,1736495100,55597.73,55601.1,55561.33,55581.14,0
81,1736495280,55580.14,55594.61,55578.15,55592.34,0
82,1736495460,55591.24,55610.58,55580.27,55609.64,0
83,1736495640,55609.64,55652.13,55607.55,55637.38,0
84,1736495820,55632.58,55632.58,55511.31,55514.03,0
85,1736496000,55517.26,55561.58,55501.66,55558.49,0
86,1736496180,55556.75,55557.91,55507.3,55522.79,0
87,1736496360,55521.74,55542.46,55516.27,55535.49,0
88,1736496540,55536.04,55536.04,55504.95,55506.55,0
89,1736496720,55506.0,55556.6,55493.46,55548.83,0
90,1736496900,55548.32,55572.79,55534.69,55565.89,0
91,1736497080,55564.79,55582.61,55538.58,55539.53,0
92,1736497260,55553.89,55568.25,55546.64,55549.3,0
93,1736497440,55548.53,55549.49,55517.91,55526.85,0
94,1736497620,55524.6,55553.73,55513.13,55550.4,0
95,1736497800,55556.21,55561.18,55526.84,55538.14,0
96,1736497980,55534.77,55534.77,55492.07,55497.58,0
97,1736498160,55499.02,55499.74,55457.22,55478.4,0
98,1736498340,55485.16,55499.71,55408.66,55415.25,0
99,1736498520,55420.57,55425.11,55396.74,55396.74,0
100,1736498700,55394.23,55417.08,55368.9,55386.14,0
101,1736498880,55387.26,55404.21,55345.75,55350.4,0
102,1736499060,55353.73,55382.66,55348.03,55356.34,0
103,1736499240,55355.6,55355.6,55208.81,55237.07,0
104,1736499420,55237.82,55327.76,55232.37,55320.31,0
105,1736499600,55320.87,55325.95,55259.65,55271.62,0
106,1736499780,55272.09,55301.97,55261.29,55293.85,0
107,1736499960,55296.77,55311.91,55248.84,55284.4,0
108,1736500140,55284.3,55284.3,55235.77,55252.11,0
109,1736500320,55250.45,55311.5,55243.35,55311.5,0
110,1736500500,55311.6,55325.93,55276.81,55285.85,0
111,1736500680,55287.28,55294.73,55247.54,55272.39,0
112,1736500860,55272.88,55291.78,55266.3,55279.1,0
113,1736501040,55279.19,55314.53,55242.53,55250.05,0
114,1736501220,55250.6,55261.46,55216.98,55225.81,0
115,1736501400,55225.45,55269.44,55205.13,55225.04,0
116,1736501580,55232.09,55244.31,55208.96,55227.23,0
117,1736501760,55225.8,55257.28,55218.29,55253.93,0
118,1736501940,55254.48,55278.76,55234.98,55234.98,0
119,1736502120,55233.88,55251.62,55193.99,55207.31,0
120,1736502300,55202.45,55268.96,55194.39,55254.09,0
121,1736502480,55257.46,55356.22,55240.96,55356.22,0
122,1736502660,55351.74,55385.89,55345.12,55364.16,0
123,1736502840,55362.82,55367.53,55309.69,55333.22,0
124,1736503020,55331.54,55374.53,55314.52,55374.53,0
125,1736739900,54864.5,54864.5,54651.65,54850.15,0
126,1736740080,54849.05,54950.37,54831.6,54927.91,0
127,1736740260,54916.93,55010.41,54890.22,54930.43,0
128,1736740440,54931.86,54954.5,54872.27,54898.93,0
129,1736740620,54905.74,55039.67,54881.65,55031.0,0
130,1736740800,55024.9,55052.26,54902.61,54974.02,0
131,1736740980,54973.53,55031.86,54927.69,54958.15,0
132,1736741160,54966.2,54966.2,54862.45,54863.15,0
133,1736741340,54862.07,54883.82,54776.39,54820.18,0
134,1736741520,54820.24,54887.87,54785.71,54881.02,0
135,1736741700,54882.49,54891.01,54724.23,54737.03,0
136,1736741880,54734.78,54734.78,54668.49,54696.55,0
137,1736742060,54702.72,54771.34,54702.72,54751.3,0
138,1736742240,54752.36,54770.64,54700.81,54739.51,0
139,1736742420,54733.77,54751.46,54710.47,54737.85,0
140,1736742600,54743.51,54982.68,54712.43,54982.68,0
141,1736742780,54984.61,55067.18,54971.05,55009.28,0
142,1736742960,55009.38,55026.62,54954.91,55005.23,0
143,1736743140,55005.72,55032.07,54985.2,55032.07,0
144,1736743320,55029.56,55075.07,55029.56,55074.69,0
145,1736743500,55099.06,55173.68,55094.96,55100.89,0
146,1736743680,55106.89,55106.89,55050.42,55093.23,0
147,1736743860,55091.7,55168.49,55071.78,55168.49,0
148,1736744040,55161.83,55169.52,55107.67,55116.25,0
149,1736744220,55108.11,55189.86,55103.58,55184.46,0
150,1736744400,55193.61,55202.11,55140.68,55174.35,0
151,1736744580,55175.35,55251.41,55169.82,55248.58,0
152,1736744760,55242.12,55248.65,55113.91,55113.91,0
153,1736744940,55114.68,55162.52,55095.17,55121.16,0
