,datetime,open,high,low,close,volume
0,1736480700,49426.5,49483.15,49064.8,49211.7,0
1,1736482500,49211.6,49213.6,48838.05,49015.35,0
2,1736484300,49011.1,49111.7,48939.65,49051.95,0
3,1736486100,49047.6,49273.65,49014.8,49273.65,0
4,1736487900,49275.85,49359.35,49061.55,49066.2,0
5,1736489700,49065.6,49135.75,48955.9,49057.85,0
6,1736491500,49053.5,49131.85,48973.1,49045.1,0
7,1736493300,49044.8,49075.5,48951.0,48979.8,0
8,1736495100,48982.75,49034.05,48886.15,48941.85,0
9,1736496900,48939.15,48980.8,48795.6,48800.55,0
10,1736498700,48800.15,48833.5,48637.6,48736.3,0
11,1736500500,48735.95,48759.25,48631.2,48636.4,0
12,1736502300,48637.0,48793.75,48637.0,48779.8,0
13,1736739900,48264.25,48468.0,48178.35,48312.3,0
14,1736741700,48312.95,48461.35,48116.4,48461.35,0
15,1736743500,48475.35,48606.35,48385.75,48477.25,0
16,1736745300,48470.7,48549.85,48339.9,48482.3,0
17,1736747100,48483.0,48573.05,48290.35,48349.1,0
18,1736748900,48349.05,48388.4,48251.45,48282.35,0
19,1736750700,48279.75,48334.7,48242.15,48273.35,0
20,1736752500,48266.95,48276.8,48154.65,48180.4,0
21,1736754300,48183.65,48212.95,48109.8,48123.75,0
22,1736756100,48120.35,48152.0,48015.95,48049.85,0
23,1736757900,48048.1,48082.95,47898.35,47976.4,0
24,1736759700,47978.7,48072.65,47950.15,48036.2,0
25,1736761500,48037.45,48118.85,48021.4,48050.6,0
26,1736826300,48266.9,48617.9,48235.2,48589.4,0
27,1736828100,48587.9,48709.45,48498.55,48555.4,0
28,1736829900,48556.05,48703.95,48433.0,48677.45,0
29,1736831700,48677.4,48806.5,48662.7,48784.5,0
30,1736833500,48782.9,48788.75,48600.0,48616.5,0
31,1736835300,48612.5,48614.15,48496.95,48531.4,0
32,1736837100,48530.55,48535.45,48430.65,48505.5,0
33,1736838900,48507.05,48592.6,48507.05,48571.15,0
34,1736840700,48571.1,48629.25,48555.25,48611.3,0
35,1736842500,48611.55,48927.9,48576.5,48907.35,0
36,1736844300,48907.45,49007.35,48693.25,48720.55,0
37,1736846100,48720.95,48738.55,48588.4,48727.45,0
38,1736847900,48728.15,48910.75,48717.3,48884.6,0
39,1736912700,48832.75,49013.5,48653.0,48783.1,0
40,1736914500,48783.45,48917.95,48749.0,48917.85,0
41,1736916300,48914.15,48999.8,48868.0,48997.5,0
42,1736918100,48999.15,49083.65,48921.95,48997.05,0
43,1736919900,48996.35,49023.05,48833.8,48891.05,0
44,1736921700,48890.45,48978.15,48875.1,48920.4,0
45,1736923500,48918.8,48933.9,48838.7,48910.7,0
46,1736925300,48910.3,48925.45,48792.0,48798.2,0
47,1736927100,48796.25,48797.75,48539.9,48554.4,0
48,1736928900,48549.55,48663.4,48522.4,48636.1,0
49,1736930700,48636.2,48783.35,48612.5,48767.65,0
50,1736932500,48770.95,48819.6,48714.9,48735.7,0
51,1736934300,48737.3,48784.05,48699.6,48783.35,0
52,1736999100,49082.9,49428.1,49038.45,49262.2,0
53,1737000900,49256.05,49325.85,49202.1,49231.2,0
54,1737002700,49231.3,49356.85,49229.0,49309.4,0
55,1737004500,49308.95,49314.2,49170.95,49238.3,0
56,1737006300,49234.3,49357.65,49195.35,49342.7,0
57,1737008100,49339.45,49344.5,49256.15,49282.0,0
58,1737009900,49284.95,49357.5,49240.75,49323.2,0
59,1737011700,49320.45,49459.0,49319.15,49445.3,0
60,1737013500,49445.2,49450.35,49354.7,49387.05,0
61,1737015300,49384.7,49397.75,49333.75,49349.75,0
62,1737017100,49345.25,49347.95,49136.5,49186.6,0
63,1737018900,49181.6,49307.75,49134.35,49304.9,0
64,1737020700,49305.95,49390.75,49289.0,49386.4,0
65,1737085500,48959.5,49047.2,48593.75,48610.65,0
66,1737087300,48610.55,48702.75,48564.05,48591.1,0
67,1737089100,48591.85,48684.9,48477.5,48480.65,0
68,1737090900,48486.5,48518.3,48309.5,48400.05,0
69,1737092700,48403.9,48541.35,48389.75,48482.1,0
70,1737094500,48479.7,48578.5,48424.35,48513.35,0
71,1737096300,48512.95,48610.1,48439.2,48538.85,0
72,1737098100,48539.05,48594.55,48456.35,48461.55,0
73,1737099900,48462.95,48486.85,48375.1,48414.7,0
74,1737101700,48415.7,48506.8,48393.25,48474.0,0
75,1737103500,48472.65,48599.9,48452.3,48592.8,0
76,1737105300,48594.65,48607.5,48484.15,48521.9,0
77,1737107100,48527.05,48585.35,48521.05,48553.85,0
78,1737344700,48834.15,48929.4,48683.6,48900.75,0
79,1737346500,48900.35,48993.45,48869.75,48945.15,0
80,1737348300,48943.4,49064.8,48938.0,49001.4,0
81,1737350100,49001.05,49056.9,48946.75,49054.7,0
82,1737351900,49052.45,49369.0,49051.05,49358.65,0
83,1737353700,49359.05,49374.85,49271.8,49311.3,0
84,1737355500,49315.9,49448.25,49291.75,49409.8,0
85,1737357300,49413.25,49562.05,49382.9,49541.85,0
86,1737359100,49545.3,49650.6,49468.2,49476.2,0
87,1737360900,49481.9,49516.55,49399.1,49463.95,0
88,1737362700,49463.95,49489.6,49363.9,49414.5,0
89,1737364500,49417.0,49456.1,49359.7,49386.95,0
90,1737366300,49389.35,49389.35,49295.9,49334.55,0
91,1737431100,49532.0,49543.15,49184.55,49197.9,0
92,1737432900,49197.5,49259.95,48983.6,49034.45,0
93,1737434700,49035.7,49036.2,48771.0,48864.8,0
94,1737436500,48859.05,48903.45,48695.1,48745.1,0
95,1737438300,48745.8,48867.6,48692.6,48842.1,0
96,1737440100,48846.1,49280.7,48846.1,48934.6,0
97,1737441900,48934.35,48945.9,48624.45,48681.65,0
98,1737443700,48675.45,48961.8,48659.25,48857.25,0
99,1737445500,48852.7,48916.4,48636.9,48855.7,0
100,1737447300,48851.6,48877.7,48699.2,48742.5,0
101,1737449100,48741.5,48769.75,48430.95,48469.25,0
102,1737450900,48462.8,48618.5,48437.3,48580.95,0
103,1737452700,48581.1,48639.3,48578.4,48626.1,0
104,1737517500,48689.55,48741.75,48529.6,48549.65,0
105,1737519300,48550.25,48695.2,48459.55,48675.15,0
106,1737521100,48673.95,48727.8,48495.4,48552.4,0
107,1737522900,48553.25,48673.55,48442.9,48471.85,0
108,1737524700,48471.75,48478.4,48355.35,48370.45,0
109,1737526500,48372.8,48385.3,48279.95,48321.65,0
110,1737528300,48323.2,48354.1,48185.8,48288.15,0
111,1737530100,48285.6,48298.25,48109.4,48258.1,0
112,1737531900,48259.95,48260.55,48100.7,48109.7,0
113,1737533700,48108.95,48422.7,48074.05,48385.2,0
114,1737535500,48388.0,48607.9,48353.3,48567.7,0
115,1737537300,48566.05,48781.75,48505.35,48768.65,0
116,1737539100,48762.5,48775.8,48677.7,48766.4,0
117,1737603900,48770.15,48781.9,48493.0,48589.15,0
118,1737605700,48583.1,48808.9,48569.7,48786.65,0
119,1737607500,48788.85,48892.7,48777.6,48814.05,0
120,1737609300,48814.85,48844.35,48630.5,48717.8,0
121,1737611100,48715.55,48749.8,48598.45,48616.4,0
122,1737612900,48614.85,48655.9,48559.6,48613.45,0
123,1737614700,48613.0,48764.3,48590.85,48687.3,0
124,1737616500,48687.7,48732.25,48612.45,48719.05,0
125,1737618300,48714.75,48785.25,48664.85,48777.0,0
126,1737620100,48778.3,48802.4,48618.9,48663.35,0
127,1737621900,48670.85,48676.4,48585.55,48597.9,0
128,1737623700,48598.9,48623.3,48551.0,48591.3,0
