datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,skew_close_20,kurt_close_20,roc_close_5,roc_close_10,roc_close_20,acf_close_lag1,pacf_close_lag1,acf_close_lag2,pacf_close_lag2,acf_close_lag3,pacf_close_lag3,acf_close_lag4,pacf_close_lag4,acf_close_lag5,pacf_close_lag5,acf_close_lag6,pacf_close_lag6,acf_close_lag7,pacf_close_lag7,acf_close_lag8,pacf_close_lag8,acf_close_lag9,pacf_close_lag9,acf_close_lag10,pacf_close_lag10,cci_20,hour,day_of_week,month
2022-06-09 12:15:00,40159.0,40483.7,40091.9,40480.8,332.08,48.46,17.11,15.14,-66.79,-81.39,14.6,15.65,40492.74,40885.73,40711.66,39906.96,40562.83,41218.7,391.8,321.8,2.9,67.1,-0.0995,-1.3577,0.2784,-0.712,-0.7369,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-83.7,12,3,6
2022-06-09 15:15:00,40476.3,40541.6,40469.6,40501.2,313.5,48.87,29.95,18.7,-61.3,-60.72,-0.58,14.78,40493.08,40881.9,40680.14,39949.84,40556.96,41164.08,72.0,24.9,40.4,6.7,0.0582,-1.2796,-0.5864,-0.6783,-1.5329,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-41.73,15,3,6
2022-06-10 09:15:00,40158.9,40158.9,39820.6,39894.0,339.72,38.87,28.07,25.04,-104.74,-83.33,-21.41,15.11,40469.58,40872.07,40620.91,39814.88,40493.82,41172.76,338.3,264.9,0.0,73.4,-0.0893,-0.8118,-1.0082,-2.0386,-2.8835,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-152.2,9,4,6
2022-06-10 12:15:00,39894.3,39895.4,39598.8,39784.5,336.64,37.39,21.6,26.54,-146.32,-99.92,-46.4,15.86,40442.72,40861.25,40552.32,39755.49,40426.26,41097.04,296.6,109.8,1.1,185.7,-0.2381,-0.5939,-1.1364,-1.2892,-3.3331,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-172.26,12,4,6
2022-06-10 15:15:00,39779.1,39788.9,39687.8,39714.2,319.82,36.42,10.04,19.9,-182.83,-109.15,-73.68,16.55,40414.15,40849.84,40490.11,39732.3,40358.45,40984.6,101.1,64.9,9.8,26.4,-0.2294,-0.6164,-1.1172,-1.6788,-3.0375,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-157.13,15,4,6
2022-06-13 09:15:00,38787.4,38878.4,38293.8,38433.8,398.43,24.2,9.55,13.73,-311.5,-190.25,-121.25,19.08,40336.49,40825.8,40356.94,39338.08,40175.15,41012.22,584.6,353.6,91.0,140.0,-1.6674,3.5669,-5.0567,-4.7924,-6.4807,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-315.69,9,0,6
2022-06-13 12:15:00,38433.2,38491.0,38283.6,38477.5,384.79,25.13,7.25,8.95,-405.27,-227.22,-178.05,21.43,40263.58,40802.43,40227.98,39216.62,40013.47,40810.32,207.4,44.3,13.5,149.6,-1.5118,1.7402,-4.9966,-5.5537,-6.2823,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-248.29,12,0,6
2022-06-13 15:15:00,38509.4,38555.9,38491.1,38545.8,362.9,26.63,7.62,8.14,-468.67,-232.49,-236.17,23.42,40196.22,40779.98,40096.9,39137.8,39873.69,40609.58,64.8,36.4,10.1,18.3,-1.3419,0.5153,-3.3795,-4.3536,-6.3681,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-184.68,15,0,6
2022-06-14 09:15:00,38251.7,38748.5,38191.0,38663.9,376.8,29.28,11.66,8.84,-503.58,-213.92,-289.65,25.57,40136.13,40758.92,39998.61,38986.47,39758.47,40530.47,557.5,412.2,84.6,60.7,-1.034,-0.3926,-2.8167,-3.921,-4.8381,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-150.4,9,1,6
2022-06-14 12:15:00,38662.9,38662.9,38261.3,38393.7,378.64,26.89,11.69,10.32,-546.74,-205.67,-341.07,27.57,40067.8,40735.39,39883.62,38853.33,39628.5,40403.66,401.6,269.2,0.0,132.4,-0.7999,-0.9401,-3.325,-4.4051,-5.6517,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-133.47,12,1,6
2022-06-14 15:15:00,38397.5,38525.1,38384.7,38437.1,361.63,27.9,11.52,11.62,-570.87,-183.84,-387.03,29.43,40003.85,40712.52,39766.92,38786.95,39515.03,40243.11,140.4,39.6,88.0,12.8,-0.5947,-1.3134,0.0086,-5.0486,-5.7246,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-113.73,15,1,6
2022-06-15 09:15:00,38413.9,38629.2,38379.0,38565.9,353.67,30.98,11.0,11.4,-572.99,-148.77,-424.22,30.76,39947.46,40691.16,39656.32,38718.24,39424.64,40131.03,250.2,152.0,63.3,34.9,-0.4074,-1.5643,0.2297,-4.7784,-5.4243,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-92.4,9,2,6
2022-06-15 12:15:00,38562.6,38704.0,38418.9,38477.4,348.77,30.03,12.56,11.7,-575.19,-120.77,-454.42,31.71,39889.81,40669.13,39543.98,38641.0,39334.42,40027.85,285.1,85.2,141.4,58.5,-0.2309,-1.7266,-0.1775,-3.5509,-5.5171,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-80.31,12,2,6
2022-06-15 15:15:00,38472.7,38502.4,38451.0,38468.1,327.53,29.93,13.31,12.29,-571.09,-93.34,-477.75,32.6,39834.06,40647.23,39452.18,38614.74,39251.92,39889.09,51.4,4.6,29.7,17.1,-0.0308,-1.7886,-0.5064,-3.3088,-4.5554,0.9974,0.9987,0.9947,0.0126,0.992,-0.009,0.9894,0.0331,0.9868,0.0386,0.9843,-0.002,0.9814,-0.0042,0.9785,-0.02,0.9757,-0.0014,0.9729,0.0271,-75.58,15,2,6
