datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,cci_20,hour,day_of_week,month
2022-03-15 09:30:00,35453.9,35485.1,35257.6,35332.4,137.15,63.11,70.96,77.6,157.28,0.97,156.31,36.02,34920.72,34154.77,35201.23,34919.5,35194.42,35469.35,227.5,121.5,31.2,74.8,93.55,9,1,3
2022-03-15 09:45:00,35331.4,35363.8,35235.2,35297.7,136.54,60.51,58.76,69.27,146.39,-7.94,154.32,35.19,34935.5,34166.14,35217.35,34931.02,35204.26,35477.5,128.6,33.7,32.4,62.5,53.8,9,1,3
2022-03-15 10:00:00,35287.8,35487.4,35271.9,35460.6,142.18,67.33,57.6,62.44,149.18,-4.12,153.29,35.12,34956.1,34179.03,35237.92,34940.41,35228.68,35516.94,215.5,172.8,26.8,15.9,104.15,10,1,3
2022-03-15 10:15:00,35461.1,35613.4,35418.2,35606.6,145.97,71.99,72.7,63.02,161.31,6.41,154.9,35.64,34981.6,34193.23,35265.95,34966.68,35264.67,35562.66,195.2,145.5,6.8,42.9,161.25,10,1,3
2022-03-15 10:30:00,35609.6,35633.1,35547.9,35586.9,141.63,70.53,88.79,73.03,167.41,10.01,157.4,36.21,35005.34,34207.1,35292.48,35009.52,35295.36,35581.2,85.2,22.7,23.5,39.0,164.67,10,1,3
2022-03-15 10:45:00,35585.6,35588.9,35429.1,35444.9,142.93,60.91,84.03,81.84,158.95,1.24,157.71,35.53,35022.58,34219.42,35313.7,35020.54,35309.6,35598.65,159.8,140.7,3.3,15.8,101.9,10,1,3
2022-03-15 11:00:00,35446.2,35489.7,35417.4,35466.0,137.88,61.75,73.25,82.02,152.2,-4.41,156.61,34.79,35039.97,34231.82,35333.98,35049.2,35324.49,35599.79,72.3,19.8,23.7,28.8,77.46,11,1,3
2022-03-15 11:15:00,35465.2,35510.1,35394.9,35481.4,136.26,62.38,65.13,74.13,146.4,-8.17,154.57,33.88,35057.28,34244.25,35351.3,35068.42,35339.44,35610.46,115.2,16.2,28.7,70.3,73.1,11,1,3
2022-03-15 11:30:00,35480.2,35499.6,35439.4,35451.6,130.83,60.31,64.54,67.64,137.81,-13.41,151.21,33.04,35072.74,34256.26,35365.92,35093.44,35350.12,35606.8,60.2,28.6,19.4,12.2,67.2,11,1,3
2022-03-15 11:45:00,35451.4,35595.6,35449.1,35588.7,131.95,65.92,72.51,67.39,140.45,-8.61,149.06,32.86,35092.98,34269.52,35387.84,35112.71,35372.84,35632.98,146.5,137.3,6.9,2.3,106.13,11,1,3
2022-03-15 12:00:00,35590.8,35643.8,35568.6,35581.9,127.89,65.43,79.15,72.07,140.37,-6.95,147.32,32.98,35112.15,34282.58,35409.25,35143.07,35392.75,35642.44,75.2,8.9,53.0,13.3,128.7,12,1,3
2022-03-15 12:15:00,35580.4,35583.9,35494.2,35517.6,125.17,60.78,83.39,78.35,133.58,-10.99,144.57,32.27,35128.05,34294.87,35424.26,35161.65,35404.64,35647.63,89.7,62.8,3.5,23.4,78.84,12,1,3
2022-03-15 12:30:00,35519.9,35519.9,35244.8,35300.6,135.88,48.33,58.62,73.72,109.43,-28.12,137.54,30.38,35134.82,34304.88,35428.15,35122.48,35394.74,35666.98,275.1,219.3,0.0,55.8,-47.72,12,1,3
2022-03-15 12:45:00,35309.2,35360.1,35241.6,35285.2,134.64,47.58,33.77,58.59,88.03,-39.61,127.64,28.65,35140.72,34314.63,35431.14,35115.41,35384.3,35653.2,118.5,24.0,50.9,43.6,-99.13,12,1,3
2022-03-15 13:00:00,35282.1,35282.1,35152.9,35198.2,134.47,43.5,12.49,34.96,63.32,-51.46,114.78,27.63,35142.97,34323.42,35424.62,35098.1,35366.58,35635.06,129.2,83.9,0.0,45.3,-153.26,13,1,3
2022-03-15 13:15:00,35196.2,35197.9,35026.4,35132.3,137.13,40.65,12.87,19.71,37.99,-61.43,99.42,27.42,35142.55,34331.47,35413.77,35068.63,35344.26,35619.9,171.5,63.9,1.7,105.9,-189.82,13,1,3
2022-03-15 13:30:00,35131.4,35196.1,35051.7,35142.1,137.65,41.27,15.04,13.47,18.48,-64.75,83.23,27.22,35142.53,34339.54,35399.88,35048.12,35325.01,35601.9,144.4,10.7,54.0,79.7,-152.63,13,1,3
2022-03-15 13:45:00,35141.6,35152.6,34954.0,34961.0,142.01,34.21,12.3,13.41,-11.45,-75.75,64.29,27.55,35135.42,34345.72,35381.82,35002.0,35290.34,35578.69,198.6,180.6,11.0,7.0,-177.23,13,1,3
2022-03-15 14:00:00,34962.8,34962.8,34845.2,34882.9,140.26,31.69,8.16,11.83,-41.01,-84.24,43.23,28.36,35125.51,34351.07,35358.79,34968.26,35251.54,35534.83,117.6,79.9,0.0,37.7,-197.68,14,1,3
2022-03-15 14:15:00,34881.1,34882.1,34706.1,34771.7,142.87,28.48,4.24,8.23,-72.57,-92.64,20.07,29.66,35111.64,34355.26,35324.52,34915.86,35205.84,35495.82,176.0,109.4,1.0,65.6,-193.65,14,1,3
2022-03-15 14:30:00,34768.0,34887.6,34745.5,34850.6,142.82,33.62,9.04,7.15,-90.17,-88.2,-1.97,30.81,35101.4,34360.18,35300.42,34882.58,35172.01,35461.44,142.1,82.6,37.0,22.5,-148.56,14,1,3
2022-03-15 14:45:00,34851.5,35171.3,34837.9,35164.3,156.43,49.25,23.76,12.35,-77.91,-60.75,-17.16,29.52,35103.87,34368.18,35293.76,34845.9,35171.27,35496.64,333.4,312.8,7.0,13.6,-68.21,14,1,3
2022-03-15 15:00:00,35166.1,35198.4,34959.4,35031.6,162.33,44.48,33.0,21.93,-78.0,-48.67,-29.33,28.13,35101.03,34374.78,35272.3,34818.06,35157.97,35497.88,239.0,134.5,32.3,72.2,-59.7,15,1,3
2022-03-15 15:15:00,35032.6,35078.8,34911.3,34941.7,162.7,41.54,36.23,31.0,-84.36,-44.02,-40.34,27.11,35094.78,34380.42,35239.06,34797.93,35137.38,35476.82,167.5,90.9,46.2,30.4,-75.74,15,1,3
2022-03-16 09:15:00,35555.8,35768.8,35461.6,35748.6,210.16,64.31,52.65,40.63,-24.01,13.06,-37.07,27.38,35120.42,34394.04,35247.14,34730.93,35195.58,35660.24,307.2,192.8,20.2,94.2,115.39,9,2,3
2022-03-16 09:30:00,35748.1,35806.4,35685.8,35710.8,203.76,63.07,71.51,53.46,20.53,46.08,-25.55,27.74,35143.58,34407.14,35260.44,34801.28,35244.66,35688.03,120.6,37.3,58.3,25.0,126.3,9,2,3
2022-03-16 09:45:00,35710.6,35761.4,35621.9,35687.5,199.17,62.27,92.87,72.34,53.34,63.11,-9.77,27.69,35164.9,34419.88,35271.52,34859.11,35286.83,35714.55,139.5,23.1,50.8,65.6,106.53,9,2,3
2022-03-16 10:00:00,35690.2,35748.1,35564.4,35575.0,198.06,58.44,86.49,83.62,69.46,63.38,6.07,27.32,35180.99,34431.38,35276.2,34892.3,35314.27,35736.25,183.7,115.2,57.9,10.6,86.12,10,2,3
2022-03-16 10:15:00,35575.0,35657.6,35506.1,35578.4,194.74,58.52,82.48,87.28,81.56,60.39,21.17,26.63,35196.58,34442.78,35282.54,34928.78,35339.43,35750.08,151.5,3.4,79.2,68.9,71.19,10,2,3
2022-03-16 10:30:00,35578.6,35661.8,35576.0,35646.1,186.96,60.23,81.23,83.4,95.52,59.48,36.04,26.01,35214.2,34454.76,35285.4,34980.76,35368.64,35756.52,85.8,67.5,15.7,2.6,80.37,10,2,3
2022-03-16 10:45:00,35647.4,35686.4,35622.8,35635.6,178.15,59.82,83.06,82.26,104.53,54.79,49.74,25.54,35230.73,34466.51,35288.09,35031.01,35394.06,35757.11,63.6,11.8,39.0,12.8,83.85,10,2,3
2022-03-16 11:00:00,35636.8,35641.6,35573.8,35597.5,170.26,58.26,83.64,82.64,107.36,46.1,61.26,24.78,35245.11,34477.76,35292.08,35072.05,35413.44,35754.82,67.8,39.3,4.8,23.7,71.72,11,2,3
2022-03-16 11:15:00,35597.1,35635.1,35578.2,35596.2,162.17,58.21,82.13,82.94,108.25,37.59,70.66,24.07,35258.88,34488.89,35306.86,35111.13,35430.84,35750.56,56.9,0.9,38.0,18.0,65.46,11,2,3
2022-03-16 11:30:00,35596.9,35706.6,35594.4,35663.4,158.6,60.31,82.81,82.86,113.07,33.93,79.14,23.79,35274.74,34500.58,35325.77,35142.36,35452.99,35763.63,112.2,66.5,43.2,2.5,69.09,11,2,3
2022-03-16 11:45:00,35662.6,35711.4,35654.2,35671.4,151.35,60.57,84.49,83.14,116.2,29.65,86.55,23.55,35290.3,34512.23,35349.43,35181.84,35473.79,35765.74,57.2,8.8,40.0,8.4,67.24,11,2,3
2022-03-16 12:00:00,35674.7,35676.1,35616.3,35671.3,144.81,60.56,85.83,84.38,117.32,24.61,92.71,23.02,35305.24,34523.76,35376.39,35217.07,35492.6,35768.14,59.8,3.4,1.4,55.0,57.07,12,2,3
2022-03-16 12:15:00,35671.4,35715.2,35660.4,35667.3,138.39,60.34,85.14,85.15,116.54,19.07,97.47,22.75,35319.44,34535.14,35402.64,35249.51,35509.24,35768.97,54.8,4.1,43.8,6.9,57.79,12,2,3
2022-03-16 12:30:00,35665.9,35741.1,35635.1,35724.2,136.07,62.47,81.84,84.27,119.14,17.33,101.81,22.66,35335.31,34546.97,35440.8,35274.53,35529.71,35784.9,106.0,58.3,16.9,30.8,57.95,12,2,3
2022-03-16 12:45:00,35722.6,35767.4,35659.1,35679.6,134.09,59.76,72.8,79.93,116.26,11.56,104.7,22.73,35348.81,34558.24,35480.64,35292.48,35543.99,35795.5,108.3,43.0,44.8,20.5,55.75,12,2,3
2022-03-16 13:00:00,35679.1,35683.5,35560.8,35560.8,133.27,53.14,51.62,68.75,103.21,-1.19,104.4,21.9,35357.12,34568.22,35520.1,35294.66,35545.59,35796.52,122.7,118.3,4.4,0.0,25.7,13,2,3
2022-03-16 13:15:00,35553.4,35671.5,35509.1,35667.2,135.36,57.66,46.79,57.07,100.29,-3.29,103.58,20.69,35369.28,34579.15,35560.92,35299.21,35557.17,35815.13,162.4,113.8,4.3,44.3,24.39,13,2,3
2022-03-16 13:30:00,35667.4,35683.2,35634.4,35647.1,129.17,56.55,45.52,47.98,95.25,-6.66,101.91,19.65,35380.18,34589.78,35585.07,35323.04,35565.74,35808.42,48.8,20.3,15.8,12.7,38.95,13,2,3
2022-03-16 13:45:00,35645.4,35721.9,35621.4,35642.1,127.12,56.26,55.7,49.34,89.83,-9.67,99.5,18.99,35390.45,34600.25,35615.59,35334.29,35573.01,35811.73,100.5,3.3,76.5,20.7,40.22,13,2,3
