datetime,open,high,low,close,atr_14,rsi_14,STOCHk_14_3_3,STOCHd_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,adx_14,ema_50,ema_200,sma_20,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,price_range,body_size,upper_wick,lower_wick,cci_20,hour,day_of_week,month
2022-04-05 10:00:00,43604.4,43770.3,43515.4,43649.0,271.3,67.03,77.11,85.84,543.74,4.18,539.56,57.49,42395.2,40623.98,43120.78,42642.09,43210.6,43779.12,254.9,44.6,121.3,89.0,49.8,10,1,4
2022-04-05 10:45:00,43648.7,43870.1,43648.7,43821.7,267.74,69.63,72.25,78.5,526.04,-10.82,536.85,56.34,42451.14,40655.8,43209.14,42712.26,43268.8,43825.34,221.4,173.0,48.4,0.0,57.13,10,1,4
2022-04-05 11:30:00,43816.6,43839.5,43738.1,43834.0,255.86,69.81,74.96,74.77,507.15,-23.76,530.91,55.27,42505.36,40687.42,43294.78,42799.78,43322.64,43845.48,101.4,17.4,5.5,78.5,55.16,11,1,4
2022-04-05 12:15:00,43831.7,43838.5,43700.8,43785.0,247.42,68.06,73.76,73.65,482.67,-38.59,521.27,54.07,42555.54,40718.24,43376.92,42867.38,43366.67,43865.95,137.7,46.7,6.8,84.2,48.45,12,1,4
2022-04-05 13:00:00,43787.3,44136.0,43783.8,44061.2,254.9,72.29,74.89,74.54,480.02,-32.99,513.02,53.61,42614.6,40751.5,43471.94,42914.0,43432.81,43951.64,352.2,273.9,74.8,3.5,73.05,13,1,4
2022-04-05 13:45:00,44060.0,44080.3,43718.8,43784.8,262.52,63.26,63.84,70.83,450.43,-50.07,500.5,52.83,42660.48,40781.69,43543.99,42928.07,43466.34,44004.6,361.5,275.2,20.3,66.0,52.79,13,1,4
2022-04-05 14:30:00,43768.5,43835.1,43445.6,43449.3,271.59,54.38,42.16,60.3,395.35,-84.12,479.47,50.74,42691.42,40808.23,43594.52,42903.52,43464.72,44025.9,389.5,319.2,66.6,3.7,-3.11,14,1,4
2022-04-05 15:15:00,43441.9,43470.9,43334.1,43371.2,261.96,52.53,16.43,40.81,341.45,-110.41,451.87,48.31,42718.08,40833.74,43636.2,42922.0,43455.81,43989.61,136.8,70.7,29.0,37.1,-60.4,15,1,4
2022-04-06 09:15:00,43104.0,43207.6,42887.7,42930.6,277.78,43.54,2.68,20.43,260.19,-153.34,413.53,45.27,42726.41,40854.6,43654.06,42830.72,43405.79,43980.85,319.9,173.4,103.6,42.9,-180.4,9,2,4
2022-04-06 10:00:00,42916.5,43040.3,42865.0,42934.5,270.46,43.63,4.25,7.79,193.87,-175.73,369.6,42.52,42734.57,40875.29,43670.5,42807.22,43360.9,43914.58,175.3,18.0,105.8,51.5,-221.24,10,2,4
