,open,high,low,close,volume,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20
862,25018.25,25018.3,25004.65,25013.3,0,25028.24,25026.56,25044.26,25043.2,25076.23,25069.65,25129.25,25112.76,25159.35,25140.72,25171.39,25159.53,-32.39,-27.41,-4.98,20.0,23.3,5.5,7.92,-93.82,-115.81,48.98,7.13,40.51,-67.8,-0.27,-0.01,18.24,25149.82,25076.23,25002.63,0.59,7.25,25144.6,25004.65,0.52,0.03,-6.13,0.92,-1,0,0,0,0,-0.02,0.02,0.05,0.02,0.0,0.03,0.0,0.0,-1,-1,-0.25,-0.22,0.09,0.15
863,25013.15,25013.15,24953.25,24956.65,0,25010.53,25003.25,25032.91,25027.47,25068.07,25058.88,25124.83,25106.64,25156.67,25137.07,25170.21,25157.52,-37.38,-29.41,-7.97,13.47,17.44,4.3,5.69,-98.22,-169.72,51.16,5.69,49.62,-113.55,-0.45,-0.01,21.23,25155.42,25068.07,24980.72,0.7,-13.78,25144.6,24953.25,0.75,0.01,-7.15,0.89,-1,0,0,0,0,-0.23,0.23,0.24,0.23,0.0,0.01,0.0,0.0,-1,-1,-0.44,-0.41,0.14,0.18
864,24957.65,24965.8,24938.15,24965.25,0,24995.62,24990.59,25021.66,25016.15,25060.55,25049.97,25120.53,25101.1,25154.04,25133.67,25169.02,25155.6,-40.18,-31.56,-8.62,17.85,20.63,7.03,5.61,-86.87,-177.45,53.31,5.17,50.08,-112.5,-0.45,-0.01,21.69,25155.76,25060.55,24965.34,0.76,-0.05,25144.6,24938.15,0.72,0.11,-7.87,0.91,-1,0,1,0,0,0.03,0.03,0.11,0.03,0.0,0.08,0.0,0.0,-1,-1,-0.38,-0.34,0.15,0.19
865,24963.75,24967.8,24949.25,24952.55,0,24981.14,24977.91,25009.32,25004.59,25052.82,25040.69,25116.0,25095.27,25151.31,25130.09,25167.73,25153.58,-42.92,-33.83,-9.09,16.52,19.46,7.99,6.44,-90.93,-145.44,55.14,5.52,46.98,-123.4,-0.49,-0.01,21.46,25156.37,25052.82,24949.26,0.83,1.59,25144.6,24938.15,0.77,0.06,-8.68,0.93,-1,0,0,0,0,-0.05,0.05,0.07,0.04,0.02,0.01,0.0,0.01,-1,-1,-0.4,-0.35,0.15,0.21
866,24951.45,24951.8,24931.4,24943.85,0,24966.32,24966.56,24999.28,24993.55,25044.06,25031.47,25111.45,25089.33,25148.41,25126.4,25166.35,25151.49,-45.28,-36.12,-9.16,15.66,18.7,10.08,8.37,-91.95,-138.76,57.01,5.13,49.62,-100.45,-0.4,-0.01,21.44,25153.22,25044.06,24934.9,0.87,4.1,25144.6,24931.4,0.8,0.05,-9.19,0.94,-1,0,0,0,0,-0.03,0.03,0.08,0.03,0.0,0.05,0.0,0.0,-1,-1,-0.4,-0.35,0.16,0.22
867,24943.7,24962.6,24943.0,24952.95,0,24954.25,24962.02,24991.25,24986.16,25035.68,25023.99,25106.64,25083.98,25145.62,25122.96,25165.04,25149.52,-45.88,-38.07,-7.81,20.34,22.04,10.35,9.47,-86.07,-99.43,57.88,8.41,46.36,-80.3,-0.32,-0.01,21.31,25145.78,25035.68,24925.57,0.88,12.43,25144.6,24931.4,0.77,0.09,-9.28,0.95,-1,0,0,1,0,0.04,0.04,0.08,0.04,0.04,0.0,0.0,0.0,-1,-1,-0.33,-0.28,0.16,0.23
868,24953.7,24954.45,24938.35,24942.35,0,24951.39,24955.46,24980.96,24978.2,25027.14,25016.21,25101.94,25078.43,25142.82,25119.39,25163.68,25147.46,-46.68,-39.79,-6.88,19.02,20.99,9.68,10.04,-92.92,-93.18,58.76,7.95,45.4,-102.85,-0.41,-0.01,20.94,25138.37,25027.14,24915.9,0.89,11.89,25144.6,24931.4,0.81,0.04,-9.39,0.95,-1,0,0,0,1,-0.04,0.04,0.06,0.05,0.0,0.02,0.0,0.0,-1,-1,-0.34,-0.3,0.15,0.23
869,24941.95,24952.95,24936.5,24943.9,0,24947.12,24951.61,24971.37,24971.96,25018.87,25009.33,25097.21,25073.15,25139.99,25115.91,25162.35,25145.43,-46.64,-41.16,-5.48,19.84,21.56,9.85,9.96,-91.46,-81.11,59.61,7.5,43.45,-95.9,-0.38,-0.01,20.62,25129.05,25018.87,24908.7,0.88,15.98,25144.6,24931.4,0.8,0.05,-9.28,0.94,-1,0,0,0,0,0.01,0.01,0.07,0.01,0.04,0.02,0.0,0.0,-1,-1,-0.3,-0.26,0.13,0.23
870,24943.95,24952.4,24942.2,24947.45,0,24946.1,24950.22,24963.62,24967.51,25010.77,25003.43,25092.57,25068.22,25137.33,25112.58,25161.04,25143.46,-45.8,-42.09,-3.71,21.79,22.91,9.71,9.75,-86.49,-67.25,60.39,7.22,41.86,-77.5,-0.31,-0.01,19.87,25116.85,25010.77,24904.69,0.85,20.16,25144.6,24931.4,0.79,0.06,-8.87,0.93,-1,0,0,0,0,0.01,0.01,0.04,0.01,0.02,0.01,0.0,0.0,-1,-1,-0.25,-0.22,0.11,0.22
871,24947.7,24953.05,24930.0,24931.0,0,24943.53,24943.82,24954.92,24960.87,25002.98,24996.53,25087.62,25062.84,25134.52,25108.98,25159.61,25141.35,-45.94,-42.86,-3.08,19.43,21.14,7.63,9.06,-99.17,-75.69,61.3,6.63,42.77,-86.95,-0.35,-0.01,20.1,25108.49,25002.98,24897.48,0.84,15.89,25097.0,24930.0,0.67,0.0,-8.81,0.93,-1,0,0,0,1,-0.07,0.07,0.09,0.07,0.02,0.0,0.0,0.0,-1,-1,-0.29,-0.26,0.09,0.22
872,24930.7,24955.95,24925.25,24953.45,0,24943.63,24947.03,24948.94,24959.52,24996.6,24992.43,25083.32,25058.55,25131.98,25105.9,25158.31,25139.48,-43.73,-43.03,-0.69,30.52,29.0,12.49,9.94,-76.89,-57.56,62.22,5.93,39.9,-59.85,-0.24,-0.01,20.86,25097.79,24996.6,24895.42,0.81,28.68,25086.15,24925.25,0.53,0.11,-8.29,0.89,-1,0,0,1,0,0.09,0.09,0.12,0.09,0.01,0.02,0.0,0.0,-1,-1,-0.17,-0.16,0.04,0.21
873,24953.9,24958.1,24948.4,24954.75,0,24946.11,24949.6,24948.75,24958.65,24990.83,24988.84,25079.08,25054.48,25129.45,25102.91,25157.06,25137.64,-41.39,-42.71,1.31,31.11,29.43,16.39,12.17,-74.79,-31.53,62.85,6.49,38.52,-1.9,-0.01,-0.01,20.06,25087.64,24990.83,24894.02,0.77,31.37,25086.15,24925.25,0.53,0.12,-7.72,0.85,-1,1,0,0,0,0.01,0.01,0.04,0.0,0.01,0.02,0.0,0.0,-1,-1,-0.14,-0.14,0.04,0.2
874,24954.9,24961.45,24949.35,24958.4,0,24949.01,24952.53,24948.06,24958.61,24984.86,24985.94,25074.96,25050.71,25127.07,25100.05,25155.87,25135.86,-38.8,-41.92,3.12,32.84,30.66,26.95,18.61,-67.48,-14.37,63.11,7.43,36.81,-6.85,-0.03,-0.01,19.49,25073.91,24984.86,24895.82,0.71,35.14,25086.15,24925.25,0.51,0.13,-6.82,0.78,-1,0,0,0,0,0.01,0.01,0.05,0.01,0.01,0.02,0.0,0.0,-1,-1,-0.11,-0.11,0.03,0.18
875,24958.65,24962.0,24955.1,24958.9,0,24951.3,24954.66,24948.7,24958.66,24979.01,24983.37,25070.99,25047.11,25124.67,25097.25,25154.67,25134.1,-36.29,-40.8,4.51,33.08,30.84,31.3,24.88,-63.84,16.16,63.28,7.45,35.84,6.35,0.03,-0.01,18.59,25058.18,24979.01,24899.84,0.63,37.3,25077.75,24925.25,0.48,0.13,-5.75,0.7,-1,1,0,0,0,0.0,0.0,0.03,0.0,0.01,0.01,0.0,0.0,-1,-1,-0.08,-0.1,0.03,0.16
876,24959.0,24967.55,24954.15,24967.3,0,24958.56,24958.87,24951.04,24960.23,24975.16,24981.84,25067.0,25043.98,25122.17,25094.68,25153.57,25132.44,-33.24,-39.28,6.05,37.27,33.76,38.84,32.36,-52.16,93.95,62.85,9.23,33.95,23.45,0.09,-0.01,18.22,25048.53,24975.16,24901.79,0.59,44.64,25050.2,24925.25,0.33,0.17,-4.88,0.59,-1,0,0,0,0,0.03,0.03,0.05,0.03,0.0,0.02,0.0,0.0,-1,-1,-0.03,-0.06,0.04,0.15
877,24967.25,24976.55,24963.95,24971.3,0,24962.13,24963.01,24952.88,24962.24,24972.06,24980.83,25063.1,25041.13,25119.71,25092.23,25152.54,25130.83,-30.15,-37.46,7.31,39.22,35.14,57.92,42.69,-10.23,169.07,61.54,12.37,32.24,18.35,0.07,-0.01,17.82,25040.42,24972.06,24903.7,0.55,49.44,25050.2,24925.25,0.32,0.18,-4.02,0.46,-1,0,0,0,0,0.02,0.02,0.05,0.02,0.02,0.01,0.0,0.0,-1,-1,-0.0,-0.04,0.05,0.14
878,24971.65,24972.9,24957.6,24958.3,0,24962.84,24961.44,24954.48,24961.53,24967.72,24978.69,25058.89,25037.88,25117.19,25089.58,25151.44,25129.12,-28.42,-35.65,7.23,35.37,32.82,67.34,54.7,-35.58,89.55,60.56,11.61,32.81,15.95,0.06,-0.01,17.64,25027.43,24967.72,24908.01,0.48,42.11,25047.25,24925.25,0.36,0.13,-3.06,0.35,-1,0,0,0,1,-0.05,0.05,0.06,0.05,0.01,0.0,0.0,0.0,-1,-1,-0.04,-0.08,0.05,0.12
879,24958.15,24959.2,24948.65,24951.75,0,24961.51,24958.21,24955.26,24959.75,24963.32,24976.12,25054.54,25034.51,25114.79,25086.85,25150.28,25127.35,-27.27,-33.97,6.71,33.58,31.71,68.62,64.63,-48.34,7.21,59.94,11.1,35.1,7.85,0.03,-0.01,17.13,25013.31,24963.32,24913.32,0.4,38.43,25042.25,24925.25,0.36,0.11,-2.15,0.25,-1,0,0,0,0,-0.03,0.03,0.04,0.03,0.0,0.01,0.0,0.0,-1,-1,-0.05,-0.1,0.04,0.1
880,24951.25,24952.9,24920.45,24922.0,0,24954.13,24946.14,24952.72,24952.89,24958.17,24970.97,25049.72,25030.1,25112.11,25083.59,25148.94,25125.31,-28.42,-32.86,4.44,26.93,27.31,39.61,58.52,-97.24,-158.94,60.11,9.69,41.69,-25.45,-0.1,-0.01,18.23,25002.61,24958.17,24913.72,0.36,9.31,25027.2,24920.45,0.42,0.01,-1.77,0.21,-1,0,0,0,0,-0.12,0.12,0.13,0.12,0.01,0.01,0.0,0.0,-1,-1,-0.14,-0.2,0.06,0.09
881,24921.25,24947.95,24921.25,24947.95,0,24950.26,24946.74,24954.41,24951.99,24954.67,24968.78,25045.08,25026.87,25109.68,25080.9,25147.7,25123.54,-26.94,-31.68,4.74,38.4,35.5,34.48,47.57,-50.98,-84.62,60.27,8.7,37.47,16.95,0.07,-0.01,18.83,24989.77,24954.67,24919.56,0.28,40.43,25018.3,24920.45,0.28,0.11,-0.97,0.1,-1,0,0,0,0,0.1,0.1,0.11,0.11,0.0,0.0,0.0,0.0,-1,-1,-0.03,-0.08,0.05,0.07
882,24947.5,24963.55,24947.35,24959.05,0,24947.81,24950.85,24954.97,24953.27,24951.96,24967.85,25040.72,25024.21,25107.43,25078.49,25146.53,25121.91,-24.58,-30.26,5.68,42.55,38.61,40.2,38.1,-31.19,38.08,59.0,14.14,35.14,5.6,0.02,-0.01,18.64,24974.74,24951.96,24929.17,0.18,65.57,25013.15,24920.45,0.22,0.15,0.01,0.0,1,0,0,0,0,0.04,0.04,0.06,0.05,0.02,0.0,0.0,0.0,-1,-1,0.03,-0.04,0.05,0.05
883,24958.55,24961.2,24948.15,24951.35,0,24946.42,24951.01,24954.63,24952.92,24951.69,24966.28,25036.4,25021.36,25105.02,25075.97,25145.39,25120.21,-23.07,-28.82,5.75,40.51,37.3,57.64,44.1,-44.92,11.24,57.83,13.42,33.35,-3.4,-0.01,-0.01,18.24,24974.37,24951.69,24929.01,0.18,49.25,24976.55,24920.45,0.1,0.12,0.08,0.0,1,0,0,0,0,-0.03,0.03,0.05,0.03,0.01,0.01,0.0,0.0,-1,-1,-0.0,-0.06,0.05,0.05
884,24951.7,24953.95,24939.45,24940.4,0,24944.15,24947.48,24952.83,24950.65,24950.45,24963.81,25031.83,25018.18,25102.53,25073.29,25144.23,25118.42,-22.49,-27.55,5.06,37.74,35.5,53.15,50.33,-64.44,-55.8,57.04,12.65,34.88,-18.0,-0.07,-0.01,17.98,24972.74,24950.45,24928.15,0.18,27.47,24976.55,24920.45,0.14,0.08,0.13,0.0,1,0,0,0,0,-0.04,0.04,0.06,0.05,0.01,0.0,0.0,0.0,-1,-1,-0.04,-0.09,0.06,0.05
885,24940.2,24949.15,24940.0,24942.95,0,24948.34,24945.97,24951.24,24949.25,24949.97,24961.83,25027.57,25015.23,25100.09,25070.71,25143.02,25116.67,-21.58,-26.36,4.78,38.79,36.25,43.58,51.46,-59.89,-67.65,56.31,12.17,33.57,-15.95,-0.06,-0.01,17.35,24972.47,24949.97,24927.46,0.18,34.41,24976.55,24920.45,0.13,0.09,0.06,0.0,1,0,0,0,0,0.01,0.01,0.04,0.01,0.02,0.0,0.0,0.0,-1,-1,-0.03,-0.08,0.06,0.05
886,24942.95,24944.95,24932.15,24933.4,0,24945.43,24941.78,24947.84,24946.37,24949.44,24959.12,25023.31,25012.02,25097.73,25067.99,25141.74,25114.85,-21.39,-25.37,3.98,36.32,34.67,32.92,43.22,-76.92,-111.41,55.9,11.52,35.06,-33.9,-0.14,-0.01,17.02,24972.96,24949.44,24925.93,0.19,15.88,24976.55,24920.45,0.17,0.05,-0.27,0.02,-1,0,0,0,0,-0.04,0.04,0.05,0.04,0.01,0.01,0.0,0.0,-1,-1,-0.06,-0.1,0.06,0.05
887,24933.1,24938.55,24918.65,24921.9,0,24938.0,24935.15,24942.9,24941.92,24947.89,24955.57,25018.73,25008.49,25095.35,25065.09,25140.46,25112.93,-21.91,-24.67,2.77,33.55,32.85,22.93,33.14,-94.39,-143.46,55.93,10.57,37.76,-49.4,-0.2,-0.01,17.23,24974.21,24947.89,24921.58,0.21,0.61,24976.55,24918.65,0.22,0.01,-0.61,0.07,-1,0,0,0,0,-0.05,0.05,0.08,0.04,0.02,0.01,0.0,0.0,-1,-1,-0.1,-0.13,0.05,0.05
888,24923.65,24937.1,24921.7,24933.55,0,24934.44,24934.62,24940.43,24940.4,24947.45,24953.48,25014.72,25005.55,25093.1,25062.49,25139.22,25111.15,-21.13,-23.97,2.83,38.65,36.4,18.14,24.67,-74.27,-97.32,55.95,9.89,35.33,-24.75,-0.1,-0.01,17.1,24974.41,24947.45,24920.49,0.22,24.21,24976.55,24918.65,0.17,0.06,-0.9,0.15,-1,0,0,0,0,0.05,0.05,0.06,0.04,0.01,0.01,0.01,0.0,-1,-1,-0.06,-0.08,0.05,0.06
889,24933.55,24943.05,24930.8,24939.4,0,24934.24,24936.21,24939.2,24940.21,24947.23,24952.14,25010.7,25002.96,25090.89,25060.05,25137.96,25109.44,-19.82,-23.14,3.32,41.1,38.12,22.39,21.16,-64.16,-50.54,55.35,11.91,33.49,-12.35,-0.05,-0.01,16.75,24974.37,24947.23,24920.08,0.22,35.58,24976.55,24918.65,0.15,0.08,-1.08,0.21,-1,0,0,0,0,0.02,0.02,0.05,0.02,0.01,0.01,0.0,0.0,-1,-1,-0.03,-0.05,0.05,0.06
890,24939.55,24944.0,24936.05,24937.95,0,24933.24,24936.79,24940.79,24939.8,24946.75,24950.79,25006.5,25000.41,25088.72,25057.63,25136.77,25107.73,-18.68,-22.25,3.56,40.67,37.85,31.64,24.06,-66.67,-35.15,54.69,11.91,32.31,15.95,0.06,-0.01,16.12,24974.2,24946.75,24919.31,0.22,33.96,24976.55,24918.65,0.15,0.08,-1.2,0.26,-1,0,0,0,0,-0.01,0.01,0.03,0.01,0.02,0.01,0.0,0.0,-1,-1,-0.04,-0.05,0.04,0.06
891,24937.8,24946.75,24929.3,24946.3,0,24935.82,24939.96,24940.62,24940.98,24947.52,24950.36,25002.66,24998.28,25086.65,25055.43,25135.61,25106.12,-16.91,-21.18,4.27,44.31,40.38,40.05,31.36,-49.03,-15.13,54.34,10.99,32.8,-1.65,-0.01,-0.01,16.22,24974.0,24947.52,24921.03,0.21,47.7,24976.55,24918.65,0.12,0.11,-1.46,0.4,-1,0,0,1,0,0.03,0.03,0.07,0.03,0.0,0.03,0.0,0.0,-1,-1,-0.0,-0.02,0.04,0.05
892,24945.8,24951.8,24936.3,24936.3,0,24938.7,24938.74,24938.35,24940.13,24946.66,24949.02,24998.94,24995.85,25084.51,25053.07,25134.44,25104.43,-16.13,-20.17,4.04,41.06,38.42,41.2,37.63,-60.69,3.1,53.46,12.47,30.55,-22.75,-0.09,-0.01,16.17,24973.43,24946.66,24919.89,0.21,30.65,24976.55,24918.65,0.16,0.07,-1.53,0.43,-1,0,0,0,0,-0.04,0.04,0.06,0.04,0.02,0.0,0.0,0.0,-1,-1,-0.04,-0.05,0.03,0.06
893,24936.15,24942.65,24932.5,24942.65,0,24940.52,24940.04,24937.48,24940.59,24946.06,24948.41,24995.4,24993.77,25082.44,25050.88,25133.34,25102.83,-14.83,-19.1,4.27,43.87,40.35,47.91,43.05,-46.55,-10.41,52.81,11.9,30.87,-8.7,-0.03,-0.01,15.74,24972.61,24946.06,24919.5,0.21,43.59,24976.55,24918.65,0.14,0.1,-1.46,0.4,-1,0,0,0,0,0.03,0.03,0.04,0.03,0.0,0.01,0.0,0.0,-1,-1,-0.01,-0.02,0.03,0.05
894,24942.9,24942.9,24931.05,24932.75,0,24939.19,24937.61,24936.72,24939.16,24944.77,24946.92,24991.74,24991.37,25080.22,25048.55,25132.2,25101.13,-14.42,-18.16,3.74,40.62,38.38,41.39,43.5,-68.6,-58.96,52.27,11.25,29.85,-7.65,-0.03,-0.01,15.46,24971.3,24944.77,24918.25,0.21,27.34,24976.55,24918.65,0.18,0.06,-1.45,0.4,-1,0,0,0,1,-0.04,0.04,0.05,0.04,0.0,0.01,0.0,0.0,-1,-1,-0.05,-0.06,0.03,0.05
895,24932.75,24952.7,24931.25,24951.55,0,24941.91,24942.26,24937.58,24941.42,24944.41,24947.36,24988.63,24989.81,25078.07,25046.62,25131.09,25099.64,-12.45,-17.02,4.57,48.44,43.85,52.71,47.34,-26.73,49.8,50.67,14.57,26.97,8.6,0.03,-0.01,15.89,24970.33,24944.41,24918.48,0.21,63.78,24976.55,24918.65,0.1,0.13,-1.13,0.25,-1,0,0,0,0,0.08,0.08,0.09,0.08,0.0,0.01,0.0,0.0,-1,-1,0.03,0.02,0.03,0.05
896,24951.6,24991.2,24949.55,24953.3,0,24943.31,24945.94,24939.56,24943.58,24943.7,24947.93,24985.32,24988.38,25075.98,25044.78,25129.92,25098.19,-10.62,-15.74,5.12,49.11,44.33,50.81,48.3,-52.24,241.77,47.79,27.64,22.44,19.9,0.08,-0.01,17.73,24967.82,24943.7,24919.59,0.19,69.9,24991.2,24918.65,0.15,0.14,-0.64,0.09,-1,1,0,0,0,0.01,0.01,0.17,0.01,0.15,0.01,0.0,0.0,-1,-1,0.04,0.02,0.04,0.05
897,24953.1,24955.75,24941.05,24945.45,0,24945.14,24945.78,24941.92,24943.92,24942.41,24947.69,24981.81,24986.7,25073.85,25042.81,25128.64,25096.67,-9.69,-14.53,4.84,46.2,42.61,52.66,52.06,-63.06,72.39,44.58,25.98,24.57,23.55,0.09,-0.01,17.51,24962.98,24942.41,24921.85,0.16,57.39,24991.2,24918.65,0.18,0.11,-0.18,0.01,-1,0,0,0,0,-0.03,0.03,0.06,0.03,0.01,0.02,0.0,0.0,1,-1,0.01,-0.01,0.03,0.04
898,24945.45,24951.3,24941.9,24949.25,0,24946.46,24946.93,24943.49,24944.89,24941.96,24947.84,24978.53,24985.23,25071.8,25040.96,25127.36,25095.2,-8.55,-13.33,4.79,47.82,43.72,42.29,48.59,-57.82,68.1,41.6,24.95,23.59,15.7,0.06,-0.01,16.93,24961.48,24941.96,24922.44,0.16,68.67,24991.2,24918.65,0.17,0.12,0.17,0.01,1,0,0,0,0,0.02,0.02,0.04,0.02,0.01,0.01,0.0,0.0,1,-1,0.03,0.01,0.03,0.04
899,24949.8,24951.7,24937.8,24940.7,0,24948.05,24944.86,24943.62,24944.13,24941.41,24947.16,24975.16,24983.48,25069.42,25038.97,25125.96,25093.66,-8.24,-12.31,4.08,44.58,41.8,36.5,43.82,-69.61,24.47,38.7,23.47,23.94,1.3,0.01,-0.01,16.71,24960.4,24941.41,24922.41,0.15,48.14,24991.2,24918.65,0.2,0.09,0.3,0.03,1,0,0,0,1,-0.03,0.03,0.06,0.04,0.01,0.01,0.0,0.0,1,-1,-0.0,-0.03,0.03,0.04
