Unnamed: 0,datetime,open,high,low,close,volume,ATR,signal
14,1737431100,77261.72,77337.36,76137.83,76661.79,0,552.0202023995696,2
15,1737445500,76662.12,76814.98,75641.87,76001.46,0,618.13831355295,4
16,1737517500,76114.42,76280.85,75851.49,75993.57,0,598.722003081784,4
17,1737531900,75996.16,76461.47,75816.5,76449.53,0,603.3338019163439,2
18,1737603900,76414.52,76743.54,76202.12,76653.06,0,597.3296847996924,2
19,1737618300,76653.32,76681.19,76473.91,76561.69,0,560.4466959452851,2
20,1737690300,76455.35,76985.95,76225.26,76589.01,0,578.9535615908687,2
21,1737704700,76594.14,76594.14,76091.75,76216.65,0,572.0229095532078,2
22,1737949500,75700.43,75925.72,75348.06,75528.18,0,598.3656598764829,4
23,1737963900,75523.62,75547.19,75267.59,75352.03,0,570.5352743279182,4
24,1738035900,75659.0,76287.55,75622.88,76284.7,0,601.9028361675983,4
25,1738050300,76283.89,76512.96,75765.23,75969.75,0,614.2562403231776,4
26,1738122300,76138.24,76549.63,75975.8,76369.17,0,611.3823156380084,4
27,1738136700,76368.37,76599.73,76368.37,76557.89,0,579.9937734479764,4
28,1738208700,76598.84,76898.63,76426.83,76789.75,0,571.1560380559149,4
29,1738223100,76789.27,76962.88,76401.13,76887.85,0,570.3955119516063,4
30,1738295100,76888.89,77475.18,76833.87,77460.53,0,576.0757646098875,2
31,1738309500,77460.28,77605.96,77233.3,77565.79,0,559.9222303643595,2
32,1738381500,77637.01,77899.05,77006.47,77206.65,0,586.1298441014031,4
33,1738395900,77208.78,77715.14,77095.37,77584.54,0,588.7607524511203,2
34,1738554300,77063.94,77247.47,76756.09,77246.49,0,607.3800034816505,4
35,1738568700,77244.82,77260.37,77058.53,77186.29,0,576.0730719667686,4
36,1738640700,77687.6,78149.97,77402.37,78149.33,0,605.8239539469233,2
37,1738655100,78149.49,78658.59,78102.72,78398.67,0,602.0100393968097,2
38,1738727100,78704.6,78735.41,78328.04,78474.62,0,587.222300615708,2
39,1738741500,78477.11,78518.14,78216.25,78264.59,0,565.642342594465,2
40,1738813500,78513.36,78551.66,77876.92,77898.57,0,573.8589744581391,2
41,1738827900,77900.56,78149.6,77843.99,78133.8,0,553.7341490181524,2
42,1738899900,78119.6,78356.98,77730.37,77818.52,0,559.1819279676704,2
43,1738914300,77818.59,77951.11,77475.74,77846.55,0,552.9373981250195,2
44,1739159100,77789.3,77849.58,77156.3,77192.61,0,563.3617432703079,2
45,1739173500,77193.48,77398.46,77106.89,77302.21,0,543.2309978768224,2
46,1739245500,77384.98,77387.28,76177.21,76189.54,0,592.4916695652477,2
47,1739259900,76188.34,76475.32,76030.59,76295.35,0,581.6028377197661,2
48,1739331900,76188.24,76409.27,75388.39,76342.45,0,613.9008878949811,2
49,1739346300,76341.82,76459.72,75900.34,76238.33,0,609.9006032876422,2
50,1739418300,76201.1,76764.53,76013.43,76518.06,0,620.2405377451097,2
51,1739432700,76513.65,76586.74,76044.26,76092.39,0,614.5564227932757,2
52,1739504700,76388.99,76483.06,75439.64,75546.39,0,645.8531179822753,4
53,1739519100,75545.77,76059.85,75470.79,75863.04,0,641.714993391021,2
54,1739763900,75641.41,75895.26,75294.76,75650.61,0,638.7162416846058,4
55,1739778300,75650.2,76041.96,75621.44,76007.68,0,622.861643828852,2
56,1739850300,76073.71,76091.69,75531.01,75788.09,0,618.3489613385353,2
57,1739864700,75788.66,76076.11,75788.46,75901.34,0,594.4035293121793,2
58,1739936700,75787.27,76338.58,75581.38,75997.39,0,606.1920804786878,2
59,1739951100,75996.88,76044.95,75716.09,75874.53,0,586.1294296623067,2
60,1740023100,75672.84,75794.15,75463.01,75671.37,0,573.5094240109423,2
61,1740037500,75671.57,75772.85,75657.26,75715.82,0,540.4410221691642,2
62,1740109500,75612.61,75748.72,75175.97,75281.01,0,542.7723652438871,2
63,1740123900,75280.66,75392.13,75112.41,75248.29,0,523.8049296148002,2
64,1740368700,74893.45,74907.04,74493.97,74549.03,0,540.4150196821994,2
65,1740383100,74549.22,74596.14,74387.44,74456.83,0,516.5278213291989,2
66,1740455100,74440.3,74785.08,74400.37,74714.14,0,507.0409884966259,2
67,1740469500,74714.02,74735.77,74474.34,74506.01,0,489.3740966208545,2
68,1740627900,74706.6,74834.09,74556.41,74598.02,0,477.77796990898014,2
69,1740642300,74597.37,74688.54,74520.78,74564.78,0,455.4998195806333,2
70,1740714300,74201.77,74282.43,73159.6,73233.43,0,523.7151437430847,2
71,1740728700,73234.15,73425.48,73141.27,73193.89,0,506.5184400821353,2
72,1740973500,73427.65,73649.72,72784.54,73216.64,0,532.2611042627291,2
73,1740987900,73217.34,73284.87,72939.38,73177.0,0,518.8603808139493,2
74,1741059900,72817.34,73029.84,72633.54,72913.84,0,520.6248237206207,4
75,1741074300,72914.64,73033.18,72863.2,72992.68,0,495.4818108088219,4
76,1741146300,73005.37,73933.8,72894.05,73787.63,0,534.4978133915089,4
77,1741160700,73785.69,73824.46,73580.74,73771.38,0,513.6586814215143,4
78,1741232700,74308.3,74308.59,73415.68,74083.69,0,540.8319564364351,4
79,1741247100,74083.42,74390.8,74042.09,74322.33,0,527.069504203751,2
80,1741319100,74347.14,74586.43,74038.03,74304.39,0,528.5971778754564,2
81,1741333500,74304.84,74516.11,74245.73,74308.99,0,510.1073878033832,2
82,1741578300,74474.98,74741.25,74156.0,74553.04,0,515.4870656899881,2
