,datetime,open,high,low,close,volume
0,1736480700,49426.5,49483.15,48838.05,49057.85,0
1,1736491500,49053.5,49131.85,48631.2,48636.4,0
2,1736502300,48637.0,48793.75,48637.0,48779.8,0
3,1736739900,48264.25,48606.35,48116.4,48282.35,0
4,1736750700,48279.75,48334.7,47898.35,48036.2,0
5,1736761500,48037.45,48118.85,48021.4,48050.6,0
6,1736826300,48266.9,48806.5,48235.2,48531.4,0
7,1736837100,48530.55,49007.35,48430.65,48727.45,0
8,1736847900,48728.15,48910.75,48717.3,48884.6,0
9,1736912700,48832.75,49083.65,48653.0,48920.4,0
10,1736923500,48918.8,48933.9,48522.4,48735.7,0
11,1736934300,48737.3,48784.05,48699.6,48783.35,0
12,1736999100,49082.9,49428.1,49038.45,49282.0,0
13,1737009900,49284.95,49459.0,49134.35,49304.9,0
14,1737020700,49305.95,49390.75,49289.0,49386.4,0
15,1737085500,48959.5,49047.2,48309.5,48513.35,0
16,1737096300,48512.95,48610.1,48375.1,48521.9,0
17,1737107100,48527.05,48585.35,48521.05,48553.85,0
18,1737344700,48834.15,49374.85,48683.6,49311.3,0
19,1737355500,49315.9,49650.6,49291.75,49386.95,0
20,1737366300,49389.35,49389.35,49295.9,49334.55,0
21,1737431100,49532.0,49543.15,48692.6,48934.6,0
22,1737441900,48934.35,48961.8,48430.95,48580.95,0
23,1737452700,48581.1,48639.3,48578.4,48626.1,0
24,1737517500,48689.55,48741.75,48279.95,48321.65,0
25,1737528300,48323.2,48781.75,48074.05,48768.65,0
26,1737539100,48762.5,48775.8,48677.7,48766.4,0
27,1737603900,48770.15,48892.7,48493.0,48613.45,0
28,1737614700,48613.0,48802.4,48551.0,48591.3,0
29,1737625500,48593.3,48604.0,48563.05,48595.85,0
30,1737690300,48546.05,48833.8,48347.85,48804.95,0
31,1737701100,48803.0,48858.65,48203.0,48352.95,0
32,1737711900,48352.0,48399.95,48340.15,48349.4,0
33,1737949500,47881.65,48273.05,47844.15,48161.2,0
34,1737960300,48160.05,48319.2,47981.35,48111.2,0
35,1737971100,48109.15,48111.1,47997.15,48026.3,0
36,1738035900,48642.5,49125.7,48449.05,49116.75,0
37,1738046700,49119.7,49247.15,48755.3,48861.25,0
38,1738057500,48863.95,48939.4,48832.0,48886.6,0
39,1738122300,48997.2,49165.75,48849.8,49052.95,0
40,1738133100,49053.1,49187.6,48968.45,49157.65,0
41,1738143900,49154.85,49199.65,49132.35,49163.1,0
42,1738208700,49206.2,49360.65,49031.8,49238.75,0
43,1738219500,49238.45,49383.95,49211.05,49308.8,0
44,1738230300,49305.25,49426.2,49279.95,49400.5,0
45,1738295100,49259.65,49412.65,49031.8,49388.85,0
46,1738305900,49391.9,49674.8,49302.1,49598.6,0
47,1738316700,49594.25,49647.8,49567.35,49614.4,0
48,1738381500,49592.55,50009.5,49273.1,49286.45,0
49,1738392300,49294.25,49669.0,48925.45,49514.95,0
50,1738403100,49515.15,49527.95,49429.15,49520.95,0
51,1738554300,49074.8,49286.85,48906.05,49198.55,0
52,1738565100,49198.95,49373.45,49123.3,49222.55,0
53,1738575900,49225.95,49235.0,49183.25,49224.05,0
54,1738640700,49538.8,50021.35,49482.5,49848.05,0
55,1738651500,49846.05,50206.6,49841.7,50192.25,0
56,1738662300,50192.0,50198.0,50083.65,50111.65,0
57,1738727100,50402.3,50493.25,50215.45,50342.25,0
58,1738737900,50343.3,50522.15,50325.35,50354.75,0
59,1738748700,50353.7,50354.3,50280.45,50299.9,0
60,1738813500,50468.35,50553.35,50149.8,50273.25,0
61,1738824300,50276.7,50410.65,50173.25,50374.7,0
62,1738835100,50378.35,50447.1,50362.65,50427.1,0
63,1738899900,50484.45,50641.75,50042.3,50114.25,0
64,1738910700,50112.6,50217.9,49871.15,50180.85,0
65,1738921500,50181.7,50248.35,50145.9,50204.35,0
66,1739159100,50052.5,50155.65,49703.1,49822.55,0
67,1739169900,49819.55,50049.1,49779.1,49987.7,0
68,1739180700,49990.75,50007.5,49951.7,49968.65,0
69,1739245500,49812.15,49906.75,49477.8,49550.5,0
70,1739256300,49550.35,49600.2,49177.4,49415.2,0
71,1739267100,49414.2,49436.1,49344.4,49358.6,0
72,1739331900,49402.25,49539.95,48734.35,49376.6,0
73,1739342700,49378.85,49702.35,49236.6,49518.8,0
74,1739353500,49518.25,49552.1,49491.8,49526.55,0
75,1739418300,49469.35,49836.1,49434.15,49698.75,0
76,1739429100,49698.8,49743.6,49276.1,49356.8,0
77,1739439900,49357.75,49388.55,49320.15,49342.0,0
