entry_time,exit_time,position,entry_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2024-12-12 12:10:00,2024-12-12 12:20:00,SELL,24731.9,24724.21,24735.75,65,7.69,450.0,1,TARGET,90.0,20450.0
2024-12-12 12:30:00,2024-12-12 12:40:00,SELL,24741.95,24734.26,24745.8,65,7.69,450.0,1,TARGET,90.0,20900.0
2024-12-12 12:40:00,2024-12-12 12:50:00,SELL,24735.55,24727.86,24739.4,65,7.69,450.0,1,TARGET,90.0,21350.0
2024-12-13 09:25:00,2024-12-13 09:35:00,BUY,24583.1,24590.79,24579.25,65,-3.85,-300.0,1,STOP_LOSS,90.0,21050.0
2024-12-13 09:40:00,2024-12-13 09:50:00,BUY,24544.15,24551.84,24540.3,65,-3.85,-300.0,1,STOP_LOSS,90.0,20750.0
2024-12-17 09:35:00,2024-12-17 09:45:00,BUY,24729.9,24737.59,24726.05,65,-3.85,-300.0,1,STOP_LOSS,90.0,20450.0
2024-12-17 09:50:00,2024-12-17 10:00:00,BUY,24680.05,24687.74,24676.2,65,-3.85,-300.0,1,STOP_LOSS,90.0,20150.0
2024-12-18 10:25:00,2024-12-18 10:35:00,SELL,24283.85,24276.16,24287.7,65,-3.85,-300.0,1,STOP_LOSS,90.0,19850.0
2024-12-18 10:50:00,2024-12-18 11:00:00,SELL,24270.05,24262.36,24273.9,65,7.69,450.0,1,TARGET,90.0,20300.0
2024-12-18 11:05:00,2024-12-18 11:15:00,SELL,24230.35,24222.66,24234.2,65,-3.85,-300.0,1,STOP_LOSS,90.0,20000.0
2024-12-19 09:20:00,2024-12-19 09:30:00,BUY,23832.55,23840.24,23828.7,65,-3.85,-300.0,1,STOP_LOSS,90.0,19700.0
2024-12-19 09:30:00,2024-12-19 09:40:00,BUY,23828.95,23836.64,23825.1,65,7.69,450.0,1,TARGET,90.0,20150.0
2024-12-19 09:45:00,2024-12-19 09:55:00,SELL,23909.05,23901.36,23912.9,65,7.69,450.0,1,TARGET,90.0,20600.0
2024-12-19 09:55:00,2024-12-19 10:05:00,SELL,23915.75,23908.06,23919.6,65,7.69,450.0,1,TARGET,90.0,21050.0
2024-12-19 10:05:00,2024-12-19 10:15:00,SELL,23897.3,23889.61,23901.15,65,7.69,450.0,1,TARGET,90.0,21500.0
2024-12-19 10:15:00,2024-12-19 10:25:00,SELL,23830.6,23822.91,23834.45,65,-3.85,-300.0,1,STOP_LOSS,87.5,21200.0
2024-12-20 13:40:00,2024-12-20 13:50:00,SELL,23705.9,23698.21,23709.75,65,7.69,450.0,1,TARGET,90.0,21650.0
2024-12-20 14:05:00,2024-12-20 14:15:00,SELL,23665.65,23657.96,23669.5,65,7.69,450.0,1,TARGET,90.0,22100.0
2024-12-20 14:25:00,2024-12-20 14:35:00,SELL,23671.55,23663.86,23675.4,65,7.69,450.0,1,TARGET,90.0,22550.0
2024-12-20 14:35:00,2024-12-20 14:45:00,SELL,23612.0,23604.31,23615.85,65,-3.85,-300.0,1,STOP_LOSS,86.7,22250.0
2024-12-20 14:45:00,2024-12-20 14:55:00,SELL,23615.4,23607.71,23619.25,65,7.69,450.0,1,TARGET,90.0,22700.0
2024-12-20 15:05:00,2024-12-20 15:15:00,SELL,23584.6,23576.91,23588.45,65,7.69,450.0,1,TARGET,90.0,23150.0
2024-12-23 09:45:00,2024-12-23 09:55:00,BUY,23836.65,23844.34,23832.8,65,-3.85,-300.0,1,STOP_LOSS,90.0,22850.0
2024-12-23 10:00:00,2024-12-23 10:10:00,BUY,23866.0,23873.69,23862.15,65,7.69,450.0,1,TARGET,90.0,23300.0
2024-12-23 10:25:00,2024-12-23 10:35:00,BUY,23847.9,23855.59,23844.05,65,7.69,450.0,1,TARGET,90.0,23750.0
2024-12-23 12:35:00,2024-12-23 12:45:00,SELL,23746.05,23738.36,23749.9,65,7.69,450.0,1,TARGET,90.0,24200.0
2024-12-23 12:45:00,2024-12-23 12:55:00,SELL,23738.2,23730.51,23742.05,65,7.69,450.0,1,TARGET,90.0,24650.0
2024-12-23 12:55:00,2024-12-23 13:05:00,SELL,23726.3,23718.61,23730.15,65,-3.85,-300.0,1,STOP_LOSS,90.0,24350.0
2024-12-27 09:20:00,2024-12-27 09:30:00,SELL,23853.15,23845.46,23857.0,65,7.69,450.0,1,TARGET,90.0,24800.0
2024-12-27 10:30:00,2024-12-27 10:40:00,BUY,23903.35,23911.04,23899.5,65,-3.85,-300.0,1,STOP_LOSS,90.0,24500.0
2024-12-27 12:50:00,2024-12-27 13:00:00,SELL,23776.8,23769.11,23780.65,65,7.69,450.0,1,TARGET,90.0,24950.0
2024-12-30 11:45:00,2024-12-30 11:55:00,SELL,24010.85,24003.16,24014.7,65,7.69,450.0,1,TARGET,90.0,25400.0
2024-12-30 11:55:00,2024-12-30 12:05:00,SELL,24021.75,24014.06,24025.6,65,7.69,450.0,1,TARGET,90.0,25850.0
2024-12-30 12:10:00,2024-12-30 12:20:00,BUY,23999.9,24007.59,23996.05,65,-3.85,-300.0,1,STOP_LOSS,90.0,25550.0
2024-12-30 13:00:00,2024-12-30 13:10:00,SELL,23762.0,23754.31,23765.85,65,7.69,450.0,1,TARGET,90.0,26000.0
