entry_time,exit_time,position,entry_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2024-12-12 11:30:00,2024-12-12 11:40:00,SELL,24600.6,24593.93,24603.93,75,-3.33,-300.0,1,STOP_LOSS,95.0,19700.0
2024-12-12 11:45:00,2024-12-12 11:55:00,SELL,24593.15,24586.48,24596.48,75,-3.33,-300.0,1,STOP_LOSS,95.0,19400.0
2024-12-13 09:15:00,2024-12-13 09:25:00,BUY,24470.45,24477.12,24467.12,75,-3.33,-300.0,1,STOP_LOSS,73.9,19100.0
2024-12-13 09:25:00,2024-12-13 09:35:00,BUY,24419.25,24425.92,24415.92,75,-3.33,-300.0,1,STOP_LOSS,95.0,18800.0
2024-12-17 09:55:00,2024-12-17 10:05:00,BUY,24525.45,24532.12,24522.12,75,-3.33,-300.0,1,STOP_LOSS,95.0,18500.0
2024-12-17 10:25:00,2024-12-17 10:35:00,BUY,24437.7,24444.37,24434.37,75,-3.33,-300.0,1,STOP_LOSS,95.0,18200.0
2024-12-19 09:20:00,2024-12-19 09:30:00,BUY,23909.55,23916.22,23906.22,75,6.67,450.0,1,TARGET,95.0,18650.0
2024-12-19 09:30:00,2024-12-19 09:40:00,BUY,23906.7,23913.37,23903.37,75,6.67,450.0,1,TARGET,95.0,19100.0
2024-12-20 12:50:00,2024-12-20 13:00:00,BUY,23756.95,23763.62,23753.62,75,6.67,450.0,1,TARGET,95.0,19550.0
2024-12-20 13:10:00,2024-12-20 13:20:00,BUY,23726.65,23733.32,23723.32,75,6.67,450.0,1,TARGET,59.8,20000.0
2024-12-20 13:35:00,2024-12-20 13:45:00,SELL,23729.6,23722.93,23732.93,75,6.67,450.0,1,TARGET,82.7,20450.0
2024-12-20 14:00:00,2024-12-20 14:10:00,SELL,23700.15,23693.48,23703.48,75,6.67,450.0,1,TARGET,85.6,20900.0
2024-12-20 14:35:00,2024-12-20 14:45:00,SELL,23680.5,23673.83,23683.83,75,6.67,450.0,1,TARGET,95.0,21350.0
2024-12-20 14:50:00,2024-12-20 15:00:00,SELL,23656.75,23650.08,23660.08,75,6.67,450.0,1,TARGET,86.4,21800.0
