entry_time,exit_time,position,entry_price,exit_price,pnl_points,pnl_currency,bars_held,is_win,exit_reason
2025-11-27 09:37:00,2025-11-27 09:41:00,SELL,26269.55,26249.55,20,1000,1,True,TARGET
2025-11-27 09:41:00,2025-11-27 09:47:00,SELL,26234.1,26249.1,-15,-750,2,False,STOP_LOSS
2025-11-27 09:45:00,2025-11-27 09:51:00,SELL,26238.7,26253.7,-15,-750,2,False,STOP_LOSS
2025-11-27 09:49:00,2025-11-27 09:53:00,SELL,26249.5,26264.5,-15,-750,1,False,STOP_LOSS
2025-11-27 09:53:00,2025-11-27 09:57:00,SELL,26258.7,26273.7,-15,-750,1,False,STOP_LOSS
2025-11-27 09:57:00,2025-11-27 10:01:00,SELL,26274.35,26289.35,-15,-750,1,False,STOP_LOSS
2025-11-27 10:01:00,2025-11-27 10:07:00,SELL,26289.85,26304.85,-15,-750,2,False,STOP_LOSS
2025-11-27 10:05:00,2025-11-27 10:11:00,SELL,26294.25,26274.25,20,1000,2,True,TARGET
2025-11-27 10:09:00,2025-11-27 10:41:00,SELL,26276.65,26291.65,-15,-750,15,False,STOP_LOSS
2025-11-27 10:13:00,2025-11-27 10:49:00,SELL,26282.7,26297.7,-15,-750,17,False,STOP_LOSS
2025-11-27 10:17:00,2025-11-27 10:45:00,SELL,26278.05,26293.05,-15,-750,13,False,STOP_LOSS
2025-11-27 10:21:00,2025-11-27 10:49:00,SELL,26283.35,26298.35,-15,-750,13,False,STOP_LOSS
2025-11-27 10:25:00,2025-11-27 10:39:00,SELL,26270.95,26285.95,-15,-750,6,False,STOP_LOSS
2025-11-27 10:29:00,2025-11-27 10:41:00,SELL,26274.45,26289.45,-15,-750,5,False,STOP_LOSS
2025-11-27 10:33:00,2025-11-27 10:41:00,SELL,26276.35,26291.35,-15,-750,3,False,STOP_LOSS
2025-11-27 10:37:00,2025-11-27 10:49:00,SELL,26283.1,26298.1,-15,-750,5,False,STOP_LOSS
2025-11-27 10:41:00,2025-11-27 10:49:00,SELL,26286.65,26301.65,-15,-750,3,False,STOP_LOSS
2025-11-27 10:45:00,2025-11-27 10:49:00,SELL,26292.5,26307.5,-15,-750,1,False,STOP_LOSS
2025-11-27 10:49:00,2025-11-27 10:55:00,SELL,26308.4,26288.4,20,1000,2,True,TARGET
2025-11-27 10:53:00,2025-11-27 11:29:00,SELL,26291.3,26271.3,20,1000,17,True,TARGET
2025-11-27 10:57:00,2025-11-27 11:09:00,SELL,26288.55,26303.55,-15,-750,5,False,STOP_LOSS
2025-11-27 11:01:00,2025-11-27 11:31:00,SELL,26289.7,26269.7,20,1000,14,True,TARGET
2025-11-27 11:05:00,2025-11-27 11:21:00,SELL,26297.95,26277.95,20,1000,7,True,TARGET
2025-11-27 11:09:00,2025-11-27 11:21:00,SELL,26298.3,26278.3,20,1000,5,True,TARGET
2025-11-27 11:13:00,2025-11-27 11:21:00,SELL,26297.65,26277.65,20,1000,3,True,TARGET
2025-11-27 11:17:00,2025-11-27 11:45:00,SELL,26282.35,26262.35,20,1000,13,True,TARGET
2025-11-27 11:21:00,2025-11-27 11:47:00,SELL,26277.3,26257.3,20,1000,12,True,TARGET
2025-11-27 11:25:00,2025-11-27 11:37:00,SELL,26283.75,26263.75,20,1000,5,True,TARGET
2025-11-27 11:29:00,2025-11-27 11:47:00,SELL,26272.55,26252.55,20,1000,8,True,TARGET
2025-11-27 11:33:00,2025-11-27 11:47:00,SELL,26270.5,26250.5,20,1000,6,True,TARGET
2025-11-27 11:37:00,2025-11-27 11:47:00,SELL,26264.0,26244.0,20,1000,4,True,TARGET
2025-11-27 11:41:00,2025-11-27 11:47:00,SELL,26272.6,26252.6,20,1000,2,True,TARGET
2025-11-27 11:45:00,2025-11-27 11:49:00,SELL,26263.2,26243.2,20,1000,1,True,TARGET
2025-11-27 11:49:00,2025-11-27 11:59:00,SELL,26240.7,26255.7,-15,-750,4,False,STOP_LOSS
2025-11-27 11:53:00,2025-11-27 11:59:00,SELL,26241.2,26256.2,-15,-750,2,False,STOP_LOSS
2025-11-27 11:57:00,2025-11-27 12:23:00,SELL,26248.0,26228.0,20,1000,12,True,TARGET
2025-11-27 12:01:00,2025-11-27 12:23:00,SELL,26243.05,26223.05,20,1000,10,True,TARGET
