episode,symbol,initial_capital,steps,trades,win_rate,current_capital,total_pnl,episode_reward,episode_win_rate,episode_trades,final_capital
1,Bankex_180,100000.0,10,0,0.0,76981.60000000003,-23018.399999999965,-22.860470999999954,0.0,2,76981.60000000003
2,Bankex_120,100000.0,140,0,54.054054054054056,171385.1500000005,71385.15000000049,152.36742837773005,0.5405405405405406,37,171385.1500000005
3,Bankex_15,100000.0,149,0,57.14285714285714,84882.39999999962,-15117.600000000384,13.943557120505416,0.5714285714285714,42,84882.39999999962
4,Bankex_10,100000.0,451,0,52.63157894736842,150452.79999999967,50452.79999999967,286.5716398106374,0.5263157894736842,133,150452.79999999967
5,Bankex_1,100000.0,326,0,42.85714285714285,93589.00000000052,-6410.999999999476,861.0611825356061,0.4285714285714285,98,93589.00000000052
6,Bankex_180,100000.0,30,0,44.44444444444444,71745.9999999997,-28254.000000000306,-102.24323915209972,0.4444444444444444,9,71745.9999999997
7,Bankex_120,100000.0,37,0,45.45454545454545,90317.50000000022,-9682.499999999782,-3.109334494265441,0.4545454545454545,11,90317.50000000022
8,Bankex_15,100000.0,96,0,37.03703703703704,76901.20000000046,-23098.799999999537,-25.088016132186944,0.3703703703703703,27,76901.20000000046
9,Bankex_10,100000.0,114,0,35.714285714285715,78890.35000000025,-21109.649999999747,-54.1088536512977,0.3571428571428571,28,78890.35000000025
10,Bankex_1,100000.0,451,0,42.7536231884058,94824.2499999993,-5175.7500000006985,2.078941868755764,0.427536231884058,138,94824.2499999993
11,Bankex_180,100000.0,7,0,0.0,77955.09999999995,-22044.90000000005,-22.27458178095244,0.0,2,77955.09999999995
12,Bankex_120,100000.0,250,0,54.66666666666666,176470.00000000012,76470.00000000012,237.1936162402822,0.5466666666666666,75,176470.00000000012
13,Bankex_15,100000.0,451,0,48.41269841269841,177489.85000000085,77489.85000000085,31.21109381025992,0.4841269841269841,126,177489.85000000085
14,Bankex_10,100000.0,342,0,45.0,93875.95000000104,-6124.04999999897,36.17457869116857,0.45,100,93875.95000000104
15,Bankex_1,100000.0,451,0,51.14503816793893,103462.59999999996,3462.599999999948,24.72668484135759,0.5114503816793893,131,103462.59999999996
16,Bankex_180,100000.0,99,0,48.0,139802.4999999999,39802.49999999991,260.10286391311035,0.48,25,139802.4999999999
